X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.150956,0.0917336,0.194385,0.363726,0.286425,0,0
0.750864,0.655908,0.573576,0.391212,0.295552,0,0
0.886979,0.639788,0.355928,0.398477,0.264816,0,0
0.358183,0.945713,0.130056,0.399801,0.243623,0,0
0.658548,0.831976,0.190671,0.403955,0.296057,0,0
0.159857,0.189142,0.467874,0.408701,0.282902,0,0
0.376422,0.782179,0.914566,0.419731,0.296823,0,0
0.0508092,0.557115,0.45411,0.437012,0.240795,0,0
0.291655,0.0418001,0.729247,0.439668,0.174293,0,0
0.316895,0.499721,0.320028,0.447178,0.219666,0,0
0.623525,0.112466,0.0422723,0.448508,0.248827,0,0
0.492486,0.66185,0.481921,0.453398,0.21186,0,0
0.611869,0.837636,0.633414,0.46462,0.25622,0,0
0.06319,0.815632,0.888415,0.468304,0.191266,0,0
0.0170266,0.000606634,0.9177,0.472693,0.249645,0,0
0.458082,0.0612218,0.264784,0.47492,0.21031,0,0
0.532377,0.764347,0.421277,0.488059,0.233862,0,0
0.0695441,0.750325,0.586775,0.490825,0.17952,0,0
0.879998,0.464595,0.485775,0.490963,0.192163,0,0
0.290022,0.220885,0.682355,0.49379,0.22356,0,0
0.919729,0.702097,0.848454,0.498782,0.218849,0,0
0.828887,0.593348,0.504294,0.502074,0.187891,0,0
0.202582,0.765985,0.460138,0.502431,0.25164,0,0
0.114886,0.251834,0.254782,0.505002,0.121661,0,0
0.542865,0.322624,0.636756,0.505623,0.2689,0,0
0.725794,0.628363,0.686528,0.506575,0.180189,0,0
0.745694,0.612886,0.263109,0.507192,0.17957,0,0
0.480332,0.759135,0.983306,0.507237,0.170731,0,0
0.321128,0.0020642,0.561602,0.507907,0.203492,0,0
0.988821,0.289748,0.0110422,0.509338,0.202006,0,0
0.537276,0.535284,0.577678,0.516856,0.179557,0,0
0.477419,0.611552,0.71059,0.517476,0.194607,0,0
0.465981,0.157548,0.4205,0.520454,0.161568,0,0
0.522712,0.0685151,0.955701,0.523724,0.119956,0,0
0.42841,0.380489,0.257642,0.52402,0.223919,0,0
0.110898,0.65672,0.445683,0.524676,0.060163,0,0
0.119342,0.530645,0.674719,0.526271,0.165895,0,0
0.911489,0.676903,0.998726,0.528046,0.11714,0,0
0.309896,0.427195,0.960952,0.530526,0.192053,0,0
0.521138,0.203431,0.450898,0.53191,0.150113,0,0
0.93041,0.408153,0.445385,0.532166,0.15096,0,0
0.198331,0.125572,0.298172,0.532355,0.153686,1,0.104262
0.904055,0.339036,0.704386,0.532402,0.232858,0,0
0.485272,0.693737,0.753542,0.534433,0.148393,0,0
0.855511,0.212337,0.10495,0.534675,0.166395,0,0
0.478732,0.221004,0.741188,0.536641,0.202102,0,0
0.85884,0.284166,0.937482,0.537056,0.177877,0,0
0.412904,0.898874,0.370114,0.537564,0.16059,0,0
0.801559,0.880695,0.700833,0.538827,0.129047,0,0
0.462206,0.427617,0.670572,0.53923,0.124737,0,0
0.582659,0.0952915,0.298851,0.539582,0.0945793,0,0
0.892232,0.213165,0.349121,0.540301,0.153115,0,0
0.443312,0.128675,0.529759,0.541012,0.184007,0,0
0.397971,0.522,0.301084,0.541752,0.125091,1,0.0243216
0.106328,0.181152,0.569694,0.542084,0.16393,1,0.0391817
0.270683,0.0535072,0.50281,0.542924,0.168476,0,0
0.613625,0.59331,0.408337,0.542961,0.1843,0,0
0.983688,0.485153,0.564946,0.543421,0.194731,0,0
0.157029,0.843057,0.619486,0.544384,0.0962825,0,0
0.793762,0.483199,0.458369,0.544437,0.115961,0,0
0.933025,0.0616756,0.379525,0.544493,0.142788,0,0
0.595497,0.577292,0.777608,0.545222,0.222523,0,0
0.208261,0.310466,0.00314113,0.547082,0.17627,0,0
0.775327,0.332978,0.111472,0.54765,0.20771,0,0
0.963389,0.0974064,0.615203,0.548188,0.209934,0,0
0.644805,0.95651,0.576994,0.549035,0.126374,0,0
0.230613,0.158279,0.18772,0.551503,0.114131,1,0.201345
0.353199,0.854089,0.709975,0.552274,0.217774,0,0
0.667772,0.997968,0.943371,0.552563,0.131582,0,0
0.915618,0.104107,0.0247784,0.552647,0.220526,0,0
0.594885,0.203719,0.784606,0.553144,0.20672,0,0
0.609152,0.311999,0.938808,0.553545,0.154706,0,0
0.489026,0.36036,0.833613,0.554303,0.19307,0,0
0.960173,0.740859,0.375784,0.555117,0.162213,1,0.0599066
