X,OriginTime,MinWait,NumberSeen,MaxAngle
0.61401,0.192967,0.132065,0,0
0.546748,0.199244,0.102658,0,0
0.350822,0.207306,0.138578,0,0
0.216297,0.213732,0.0673179,0,0
0.517441,0.21954,0.1167,0,0
0.265975,0.220122,0.113302,0,0
0.763045,0.221391,0.0741551,0,0
0.254253,0.224686,0.050088,0,0
0.113867,0.229602,0.120362,0,0
0.292208,0.232008,0.0885307,0,0
0.41501,0.232557,0.0873238,0,0
0.91208,0.233299,0.0587473,0,0
0.660614,0.233705,0.0867799,0,0
0.47055,0.234272,0.0876831,0,0
0.58749,0.236105,0.075586,1,0.00979137
0.0786984,0.237901,0.12176,0,0
0.324302,0.238751,0.114341,1,0.00290181
0.759971,0.239119,0.0842501,1,0.0744838
0.680986,0.242019,0.102279,0,0
0.473337,0.245184,0.0297319,1,0.0455438
0.523015,0.247,0.0416444,2,0.0613398
0.370907,0.250476,0.0971864,1,0.0179591
0.806575,0.250662,0.040466,0,0
0.487847,0.251392,0.0541335,1,0.00119235
0.610649,0.25164,0.0401623,1,0.25716
0.666189,0.252436,0.0277366,2,0.0368746
0.698283,0.255556,0.0673353,0,0
0.256753,0.255952,0.0643867,3,0.179739
0.496496,0.256928,0.0595736,2,0.0122667
0.557897,0.257028,0.0139407,2,0.0653552
0.0432435,0.258347,0.0724759,0,0
0.534451,0.259094,0.0652166,3,0.060428
0.0870604,0.259911,0.0711473,2,0.0255011
0.461328,0.25998,0.0549327,2,0.0279314
0.00807527,0.261245,0.0920977,0,0
0.548961,0.262871,0.0390317,3,0.43343
0.59864,0.263793,0.0418703,4,0.0563754
0.458254,0.264874,0.0820821,3,0.0232616
0.139526,0.265273,0.0628035,1,0.00609651
0.513793,0.26533,0.0889843,3,0.180529
0.127803,0.26607,0.0718606,1,0.0252609
0.814937,0.266086,0.0718554,1,0.0131963
0.876338,0.266156,0.0695917,0,0
0.55761,0.26656,0.00440884,5,0.503836
0.367546,0.266714,0.0907934,2,0.0598677
0.987417,0.267041,0.0720587,0,0
0.361684,0.267094,0.0918556,2,0.070375
0.294422,0.267379,0.0531591,4,0.234016
0.104358,0.267551,0.0484231,2,0.0467325
0.472764,0.267949,0.00696726,4,0.604679
0.270977,0.268791,0.0788134,4,0.136429
0.320655,0.269532,0.0241066,3,0.116236
0.253393,0.269814,0.00496069,4,0.804146
0.873264,0.270106,0.0741415,1,0.00444879
0.168546,0.271048,0.103266,1,0.00312964
0.665615,0.27121,0.00896252,4,0.495943
0.101284,0.271294,0.0792287,3,0.0361467
0.273764,0.272084,0.0795866,5,0.0886182
0.329304,0.272452,0.0236265,3,0.0896641
0.0602541,0.273413,0.0466346,1,0.0144587
0.42866,0.273734,0.0455017,1,0.0315098
0.551462,0.27384,0.030536,7,0.231602
0.919868,0.274156,0.0771537,1,0.0663392
