X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle
0.800778,0.453057,0.306367,0.36812,0.312509,0,0
0.740022,0.708549,0.0976968,0.452786,0.239489,0,0
0.609982,0.0930393,0.474185,0.453878,0.236942,0,0
0.706196,0.0631369,0.197987,0.454147,0.16049,0,0
0.784058,0.345915,0.673365,0.458326,0.277033,0,0
0.461781,0.0735607,0.854501,0.462935,0.26078,0,0
0.146519,0.154017,0.149896,0.465057,0.248082,0,0
0.216924,0.591858,0.774552,0.46748,0.164093,0,0
0.239908,0.28991,0.198382,0.48617,0.243803,0,0
0.707012,0.28544,0.570298,0.490418,0.141006,0,0
0.344633,0.835073,0.631571,0.497268,0.207132,0,0
0.325985,0.81967,0.225504,0.497871,0.216768,0,0
0.393481,0.0655707,0.637041,0.502751,0.251231,0,0
0.960667,0.789412,0.708214,0.505498,0.22875,0,0
0.909317,0.515507,0.801048,0.511595,0.227712,0,0
0.893892,0.60196,0.57266,0.514092,0.18566,0,0
0.522802,0.412297,0.863233,0.515111,0.230006,0,0
0.394762,0.392238,0.862864,0.515623,0.188483,0,0
0.678641,0.753945,0.0273663,0.516557,0.175718,0,0
0.94902,0.290296,0.547749,0.51769,0.184894,0,0
0.86697,0.383745,0.0727599,0.518968,0.187265,0,0
0.343395,0.461738,0.898245,0.519049,0.185057,0,0
0.338866,0.390573,0.0675601,0.519856,0.155621,0,0
0.206283,0.567991,0.928517,0.521465,0.113556,0,0
0.7814,0.0168476,0.952318,0.525758,0.20004,0,0
0.510142,0.346719,0.457939,0.526552,0.176484,0,0
0.652523,0.0570807,0.90192,0.526944,0.175434,0,0
0.160878,0.155009,0.658825,0.527789,0.217177,0,0
0.322423,0.954921,0.534746,0.528842,0.206826,0,0
0.615939,0.309009,0.117377,0.531294,0.151219,0,0
0.978903,0.459902,0.311792,0.534115,0.116073,0,0
0.53,0.0320068,0.549883,0.536125,0.167741,0,0
0.804833,0.0575022,0.61154,0.536203,0.215418,0,0
0.588138,0.957017,0.643479,0.536316,0.147726,0,0
0.921955,0.622943,0.0971549,0.540187,0.208982,0,0
0.0127583,0.462861,0.266811,0.540759,0.109429,0,0
0.100946,0.513685,0.631526,0.542112,0.193882,0,0
0.909499,0.646834,0.502638,0.546939,0.0927968,0,0
0.505599,0.30346,0.887795,0.548128,0.17945,0,0
0.194222,0.798725,0.216098,0.549288,0.142041,0,0
0.238314,0.361518,0.0237235,0.549298,0.173109,0,0
0.809159,0.828866,0.51011,0.549774,0.120545,0,0
0.363153,0.786791,0.402795,0.551205,0.174438,0,0
0.112235,0.668076,0.471995,0.551421,0.181959,0,0
0.620695,0.735976,0.883752,0.552741,0.162649,0,0
0.367382,0.57423,0.0162417,0.553858,0.14516,0,0
0.687354,0.0421699,0.24526,0.554971,0.0596663,1,0.207963
0.566374,0.494229,0.032582,0.55532,0.0843926,0,0
0.0887041,0.297591,0.535511,0.556873,0.159353,0,0
0.698773,0.809175,0.167764,0.556909,0.159047,0,0
0.703983,0.775125,0.660597,0.558077,0.16123,0,0
0.908826,0.392193,0.218082,0.558582,0.158795,1,0.0627932
0.883564,0.322034,0.510252,0.560117,0.142467,0,0
0.245347,0.16059,0.074099,0.560545,0.178742,0,0
0.555437,0.352611,0.150243,0.561585,0.132797,0,0
0.33005,0.0946624,0.2184,0.561861,0.126986,0,0
0.887409,0.468011,0.368657,0.562168,0.118461,1,0.200258
0.0947408,0.291963,0.95918,0.563584,0.175675,0,0
0.362384,0.337892,0.711779,0.564114,0.161616,0,0
0.0762321,0.559721,0.322873,0.565807,0.133903,0,0
0.913821,0.357388,0.780944,0.565964,0.170847,0,0
0.857891,0.0425345,0.870732,0.566306,0.195836,0,0
0.980733,0.797597,0.376125,0.568462,0.141073,0,0
0.95454,0.623878,0.521937,0.568572,0.0825854,0,0
0.995988,0.934864,0.908642,0.569358,0.144722,0,0
0.304471,0.979016,0.675209,0.56942,0.0583576,0,0
0.24294,0.17587,0.708063,0.570352,0.174614,0,0
0.971225,0.282259,0.169231,0.570451,0.150752,0,0
0.251339,0.930487,0.263667,0.570698,0.168068,0,0
0.0539984,0.277665,0.230336,0.57077,0.0991098,0,0
0.10805,0.623636,0.22971,0.571578,0.142812,0,0
0.558415,0.960596,0.471839,0.571984,0.151695,0,0
0.894916,0.147161,0.520938,0.572164,0.158481,0,0
0.522093,0.22742,0.73003,0.572977,0.168303,0,0
0.787014,0.514283,0.0228343,0.573335,0.174455,0,0
0.653461,0.319309,0.56293,0.574009,0.0857821,1,0.0776089
0.691365,0.662879,0.747801,0.57482,0.119377,0,0
0.686499,0.0695592,0.835506,0.575266,0.127112,0,0
0.0569621,0.25946,0.804611,0.576282,0.159071,0,0
0.725274,0.666026,0.185313,0.576909,0.13494,1,0.0650308
0.864831,0.572587,0.264112,0.577178,0.149982,1,0.117953
0.844816,0.811972,0.474153,0.577336,0.0929838,0,0
0.485992,0.13514,0.295785,0.577851,0.153017,0,0
0.226604,0.605024,0.269434,0.578315,0.164158,0,0
0.0589494,0.0183861,0.559096,0.580048,0.120442,0,0
0.617293,0.495484,0.338203,0.580093,0.198878,1,0.0274533
0.664901,0.56298,0.731684,0.580255,0.129216,0,0
0.983077,0.524939,0.148337,0.580521,0.154614,0,0
0.0270672,0.0429973,0.0505733,0.580713,0.183674,0,0
0.420007,0.737683,0.226696,0.582409,0.151028,0,0
0.520075,0.734638,0.617964,0.582446,0.101968,0,0
0.332191,0.522203,0.0584975,0.582668,0.136998,0,0
0.66659,0.0685837,0.579064,0.582936,0.160569,1,0.0151921
0.643828,0.0114281,0.462797,0.583861,0.0455329,1,0.114784
0.788283,0.89926,0.819332,0.584113,0.180623,0,0
0.873159,0.53485,0.408969,0.58425,0.124052,1,0.110569
0.465609,0.254087,0.937437,0.584506,0.143071,0,0
0.996244,0.648212,0.899643,0.584545,0.145061,0,0
0.291272,0.986316,0.695522,0.584933,0.0428438,0,0
0.223002,0.57661,0.964841,0.584957,0.0500637,1,0.138047
0.163085,0.802214,0.116333,0.584974,0.191297,0,0
0.805334,0.542508,0.164215,0.585202,0.0923009,1,0.0730053
0.949925,0.788264,0.541046,0.586265,0.131199,0,0
0.407951,0.0596304,0.444674,0.586338,0.0519294,0,0
0.686595,0.917913,0.249829,0.586712,0.12614,0,0
0.123709,0.638293,0.332048,0.587019,0.158707,0,0
0.68201,0.921321,0.187187,0.587383,0.118493,0,0
0.620124,0.939427,0.080978,0.587715,0.213242,0,0
0.318099,0.905106,0.228293,0.588026,0.126613,1,0.0125519
0.922623,0.853824,0.0355682,0.588069,0.114731,0,0
0.385782,0.583881,0.393155,0.588193,0.11681,0,0
0.55668,0.854209,0.0880882,0.588283,0.171513,0,0
0.692479,0.897766,0.595749,0.58958,0.0358172,0,0
0.871452,0.131913,0.0726661,0.589933,0.140501,0,0
0.82114,0.961946,0.276843,0.590186,0.149924,0,0
0.940302,0.391669,0.560106,0.59095,0.161336,0,0
0.488252,0.369176,0.659393,0.591793,0.124396,0,0
0.24023,0.636281,0.383186,0.591858,0.141712,0,0
0.249336,0.823157,0.467453,0.592212,0.121639,0,0
0.284428,0.169046,0.845665,0.592254,0.132539,0,0
0.838436,0.858328,0.0463392,0.59284,0.0520404,0,0
0.841469,0.602073,0.721229,0.593522,0.154082,0,0
0.98053,0.0163193,0.581072,0.594369,0.139389,0,0
0.192198,0.628086,0.750027,0.594656,0.0369168,1,0.382688
0.960884,0.16581,0.238165,0.594707,0.152741,0,0
0.739075,0.188467,0.623064,0.595637,0.0922476,0,0
0.148473,0.944994,0.0793216,0.597002,0.115117,0,0
