OriginTime,MinWait,MinSETI
3.28254,0.000328155,0.000328151
4.55235,0.000986632,0.000986603
4.94085,0.0013434,0.00134336
5.22532,0.0016127,0.00161264
5.44112,0.00311267,0.00311256
5.634,0.00400042,0.00400006
5.79516,0.00442228,0.00442182
5.93997,0.00473026,0.00472976
6.0661,0.00501091,0.00501027
6.18514,0.00528327,0.00528265
6.29405,0.00557649,0.0055758
6.39456,0.00590581,0.00590505
6.48748,0.00630423,0.00630365
6.57205,0.0068148,0.00681405
6.65046,0.007429,0.0074278
6.72176,0.00810627,0.00810535
6.79178,0.00881355,0.00881164
6.85675,0.00942979,0.00942799
6.91882,0.00995762,0.00995532
6.97604,0.0104445,0.0104421
7.03191,0.0108885,0.0108864
7.08476,0.0113205,0.0113178
7.13912,0.0117772,0.0117743
7.18841,0.0122732,0.0122703
7.23568,0.0128186,0.012815
7.28161,0.0134457,0.0134421
7.32874,0.0142004,0.014197
7.37342,0.0150118,0.0150075
7.41523,0.0158358,0.0158308
7.45571,0.0165575,0.0165509
7.49457,0.0172361,0.0172292
7.53198,0.0179013,0.0178943
7.56867,0.0185298,0.0185233
7.60594,0.0191425,0.0191352
7.64088,0.0197432,0.0197353
7.67538,0.0203771,0.0203678
7.7097,0.0209663,0.0209564
7.7432,0.0215441,0.0215341
7.77548,0.0220832,0.0220727
7.80813,0.0226458,0.022634
7.83851,0.0231655,0.0231543
7.86945,0.0236776,0.0236647
7.89941,0.0241925,0.0241791
7.92969,0.0246988,0.0246861
7.95799,0.0252157,0.0252015
7.98577,0.025727,0.025712
8.01433,0.0262478,0.026233
8.04227,0.0267776,0.026763
8.06876,0.0273443,0.0273283
8.0953,0.027935,0.0279182
8.1216,0.028524,0.0285065
8.14831,0.0291485,0.0291312
8.17444,0.0298096,0.0297932
8.1995,0.0304859,0.0304675
8.22359,0.0312451,0.0312237
8.24835,0.031984,0.0319632
8.27295,0.0327577,0.0327349
8.29576,0.0335095,0.0334853
8.3184,0.0342585,0.0342319
8.3413,0.0350271,0.0349986
8.36373,0.0357383,0.0357099
8.38542,0.0364155,0.0363874
8.40738,0.0371038,0.0370755
8.42929,0.0377256,0.0376919
8.45016,0.0383602,0.0383252
8.47091,0.0389723,0.0389361
8.49147,0.0395714,0.0395355
8.51227,0.0401553,0.0401159
8.53242,0.0407289,0.0406925
8.55203,0.0412909,0.0412519
8.57161,0.0418511,0.0418087
8.59094,0.0424128,0.0423717
8.61043,0.0429639,0.0429207
8.62964,0.0435288,0.0434825
8.64845,0.044085,0.044042
8.66674,0.0446711,0.0446275
8.68503,0.0452351,0.0451899
8.70378,0.0458186,0.0457716
8.72223,0.0464048,0.0463563
8.73981,0.0469678,0.0469174
8.75764,0.0475553,0.0475032
8.77539,0.0481555,0.0481043
8.7918,0.0487381,0.0486834
8.80894,0.0493118,0.0492579
8.82608,0.0498981,0.049843
8.84308,0.0505035,0.0504469
8.85943,0.0511042,0.0510473
8.87636,0.0516926,0.0516306
8.89241,0.0522881,0.0522276
8.90813,0.0528822,0.0528183
8.92396,0.0534617,0.053396
8.93986,0.0540219,0.0539578
8.95632,0.0545903,0.0545209
8.97192,0.0551333,0.0550635
8.98706,0.0556786,0.0556096
9.00234,0.0562324,0.056162
9.0176,0.0567669,0.0566929
9.03284,0.0573283,0.0572563
9.04738,0.0578611,0.057786
9.06231,0.0584001,0.0583229
9.07753,0.0589334,0.058857
9.09237,0.0594764,0.059397
9.10703,0.0600126,0.0599323
9.12148,0.0605349,0.0604545
9.13584,0.0610424,0.0609633
9.15042,0.0615844,0.0615016
9.16393,0.0621089,0.0620245
9.17789,0.0626336,0.0625478
9.19247,0.0631696,0.0630827
9.20644,0.0636866,0.0635979
9.22024,0.0642164,0.0641258
9.2336,0.0647585,0.0646681
9.24649,0.0652813,0.0651893
9.25973,0.0658286,0.0657363
9.27318,0.0663872,0.0662923
9.28594,0.0669675,0.0668712
9.29863,0.0675123,0.0674114
9.31188,0.0680729,0.0679699
9.32482,0.068624,0.0685222
9.33757,0.0691804,0.0690718
9.35055,0.0697452,0.0696394
9.36305,0.070335,0.0702288
9.37531,0.0708982,0.0707879
9.3876,0.0714753,0.0713662
9.39966,0.072047,0.0719323
9.41119,0.0726181,0.0725027
9.42332,0.0731946,0.073077
9.43489,0.07378,0.0736623
9.44723,0.0743489,0.0742263
9.45872,0.0749315,0.0748109
9.47078,0.0755268,0.0754031
9.48236,0.076107,0.0759808
9.49383,0.0766843,0.0765573
9.50509,0.0772793,0.0771501
9.51617,0.0779104,0.0777754
9.52751,0.078458,0.0783202
9.53892,0.0790551,0.0789119
9.54986,0.0796389,0.0794974
9.56113,0.0802362,0.0800959
9.57193,0.080831,0.080683
9.58301,0.0814221,0.0812755
9.59465,0.0819957,0.0818482
9.60573,0.0825752,0.0824236
9.61708,0.0831684,0.0830106
9.6281,0.0837326,0.0835767
9.63844,0.0843008,0.0841416
9.64892,0.0848884,0.0847241
9.65951,0.0854662,0.0853019
9.67025,0.0860377,0.0858725
9.68051,0.0865979,0.0864276
9.69087,0.0871748,0.0870062
9.70115,0.0877772,0.0876041
9.71131,0.0883569,0.0881793
9.72156,0.0889308,0.0887541
9.73182,0.0894914,0.08931
9.74214,0.0900387,0.0898526
9.75212,0.0906023,0.0904186
9.76233,0.0911887,0.090998
9.77231,0.0917382,0.0915502
9.7826,0.0923061,0.0921147
9.79272,0.0928541,0.092661
9.80247,0.0934163,0.0932164
9.81235,0.0939855,0.093787
9.82172,0.0945352,0.0943327
9.8317,0.0950841,0.0948784
9.84127,0.095621,0.095412
9.85093,0.0961665,0.0959565
9.86072,0.0967212,0.0965011
9.8703,0.0972715,0.0970578
9.8797,0.0978118,0.0975995
9.88921,0.0983837,0.0981627
9.8988,0.0989165,0.0987002
9.9082,0.0994704,0.0992503
9.91755,0.100045,0.099825
9.92625,0.100621,0.100389
9.93498,0.101167,0.100938
9.94406,0.10172,0.101487
9.95309,0.102279,0.102046
9.96198,0.102842,0.102603
9.97091,0.103399,0.103155
9.98023,0.103961,0.103713
9.98921,0.104521,0.10428
9.99822,0.105104,0.104859
10.0073,0.105669,0.105419
10.0163,0.10624,0.105989
10.0248,0.106839,0.106586
10.0337,0.107422,0.10717
10.0425,0.108002,0.107739
10.0512,0.108576,0.108311
10.06,0.109162,0.1089
10.069,0.109737,0.109474
10.0775,0.110345,0.110065
10.0861,0.110941,0.110666
10.0944,0.111529,0.111252
10.1028,0.112136,0.11185
10.1113,0.112765,0.112481
10.1196,0.113378,0.113095
10.128,0.114008,0.113712
10.1363,0.1146,0.114322
10.1448,0.115214,0.11491
10.1531,0.115794,0.115499
10.1615,0.116419,0.116115
10.1698,0.117031,0.116725
10.1779,0.117639,0.117329
10.1861,0.11825,0.117935
10.1943,0.118843,0.118522
10.2025,0.119437,0.119114
10.2108,0.120054,0.119729
10.2187,0.120679,0.120352
10.2268,0.121291,0.120961
10.2344,0.121926,0.121592
10.2423,0.122545,0.122214
10.2504,0.123173,0.122839
10.2586,0.123811,0.12347
10.2668,0.124448,0.124107
10.2746,0.12508,0.124731
10.2828,0.12569,0.125342
10.2907,0.126312,0.125956
10.2981,0.126913,0.126554
10.3061,0.127528,0.127163
10.3142,0.128136,0.127767
10.3216,0.128762,0.128388
10.3294,0.129359,0.12899
10.337,0.129978,0.129602
10.345,0.130561,0.130182
10.3527,0.131165,0.130781
10.3603,0.131766,0.131382
10.3677,0.132369,0.13198
10.3753,0.132972,0.132577
10.3827,0.133576,0.133182
10.39,0.134189,0.133798
10.3974,0.134795,0.13439
10.4045,0.135418,0.135009
10.412,0.136043,0.135639
10.4194,0.136635,0.136225
10.4268,0.137255,0.136822
10.434,0.137883,0.137459
10.4412,0.138493,0.138063
10.4485,0.139092,0.13866
10.4559,0.1397,0.139269
10.4627,0.140332,0.139893
10.4701,0.140937,0.140495
10.4775,0.141562,0.141119
10.4846,0.142202,0.141755
10.4917,0.142847,0.142397
10.4987,0.143462,0.143
10.5055,0.14407,0.143615
10.5126,0.1447,0.144234
10.5196,0.14532,0.144843
10.5265,0.145927,0.145454
10.5334,0.146548,0.146073
10.5405,0.147167,0.146681
10.5476,0.147752,0.147266
10.5544,0.148378,0.147888
10.5615,0.149001,0.148508
10.5688,0.14963,0.149132
10.5757,0.150246,0.14975
10.5826,0.150868,0.150356
10.5895,0.151496,0.150989
10.5962,0.152123,0.151613
10.603,0.152771,0.152254
10.6097,0.153408,0.152884
10.6164,0.154063,0.153535
10.6232,0.15472,0.154189
10.6299,0.155394,0.15485
10.6369,0.156057,0.155513
10.6437,0.156707,0.156163
10.6502,0.157352,0.156806
10.6567,0.157994,0.157447
10.6633,0.158652,0.158097
10.67,0.159323,0.158761
10.6763,0.159962,0.159393
10.6826,0.160644,0.160061
10.689,0.161302,0.160719
10.6954,0.161951,0.161368
10.7017,0.162619,0.16203
10.7082,0.163293,0.162697
10.7147,0.163969,0.163365
10.7213,0.164614,0.16401
10.7274,0.165266,0.164666
10.7339,0.16593,0.165316
10.7402,0.166582,0.165957
10.7463,0.16724,0.166609
10.7527,0.167902,0.167271
10.7592,0.168578,0.167943
10.7658,0.169239,0.168604
10.7721,0.169892,0.169253
10.7784,0.170561,0.16991
10.7846,0.171233,0.170574
10.791,0.171912,0.171254
10.7974,0.172587,0.171927
10.8037,0.173258,0.172586
10.81,0.173956,0.173283
10.8162,0.174646,0.173967
10.8224,0.17533,0.174644
10.8287,0.176012,0.175316
10.8347,0.176696,0.175976
10.8409,0.177368,0.176652
10.8473,0.178035,0.177318
10.8536,0.178692,0.177983
10.8598,0.1794,0.178675
10.866,0.180088,0.179352
10.872,0.180782,0.180049
10.8781,0.181462,0.180726
10.8843,0.182144,0.181387
10.8902,0.182851,0.182091
10.8962,0.183502,0.182748
10.9021,0.184168,0.183408
10.9079,0.184836,0.184065
10.9138,0.185513,0.184738
10.9197,0.186177,0.185401
10.9257,0.186865,0.186071
10.9316,0.18752,0.186736
10.9375,0.188216,0.187412
10.9433,0.188877,0.188069
10.9492,0.18955,0.188751
10.9549,0.190234,0.189422
10.9607,0.190888,0.190061
10.9665,0.191568,0.190735
10.9724,0.192234,0.191407
10.9782,0.192945,0.192107
10.9842,0.193634,0.192791
10.99,0.19433,0.19347
10.9958,0.194994,0.194139
11.0014,0.195691,0.194831
11.0074,0.196381,0.195507
11.0132,0.197084,0.196212
11.019,0.197778,0.196904
11.0245,0.198471,0.197574
11.0306,0.19914,0.198254
11.0364,0.199837,0.198938
11.0422,0.200545,0.199632
11.048,0.201225,0.200319
11.0538,0.201909,0.20099
11.0594,0.202623,0.201707
11.065,0.203335,0.202398
11.0708,0.204006,0.203076
11.0764,0.204712,0.203772
11.0819,0.205402,0.204446
11.0876,0.206119,0.205161
11.0933,0.206802,0.205831
11.0989,0.207477,0.20651
11.1043,0.208176,0.207199
11.1097,0.208893,0.207907
11.1153,0.209591,0.208603
11.121,0.210309,0.20932
11.1265,0.210978,0.209991
11.1323,0.211694,0.210684
11.1378,0.212411,0.211381
11.1435,0.213112,0.212094
11.1491,0.213814,0.212781
11.1544,0.214509,0.213488
11.1599,0.215213,0.214173
11.1654,0.215916,0.214873
11.171,0.21665,0.215588
11.1765,0.217368,0.21631
11.182,0.218122,0.21706
11.1874,0.218824,0.217741
11.1929,0.219513,0.218441
11.1982,0.220236,0.219148
11.2036,0.220968,0.219866
11.2092,0.221682,0.220584
11.2145,0.222402,0.221293
11.2198,0.223152,0.222039
11.225,0.223876,0.222744
11.2305,0.224605,0.223462
11.2359,0.225332,0.224199
11.2412,0.226051,0.224902
11.2465,0.226792,0.22565
11.2521,0.227543,0.226378
11.2575,0.228287,0.227119
11.2627,0.229011,0.22784
11.2682,0.22975,0.228579
11.2734,0.230489,0.229294
11.2788,0.231226,0.230031
11.2841,0.231928,0.230739
11.2892,0.232648,0.231431
11.2944,0.233358,0.232156
11.2996,0.234071,0.232843
11.3051,0.234813,0.233572
11.3104,0.235565,0.234321
11.3157,0.236286,0.235033
11.3208,0.236987,0.235728
11.3261,0.237731,0.236458
11.3314,0.238454,0.237183
11.3366,0.239205,0.2379
11.3418,0.239932,0.23865
11.3471,0.240668,0.239375
11.3521,0.241398,0.240092
11.3573,0.242128,0.240814
11.3623,0.242865,0.241544
11.3675,0.243613,0.242273
11.3727,0.244356,0.243019
11.3778,0.245121,0.24378
11.3829,0.245867,0.244517
11.3879,0.24664,0.245276
11.393,0.247364,0.245987
11.3981,0.248094,0.246718
11.4035,0.248829,0.247437
11.4087,0.249581,0.248168
11.4137,0.250332,0.248935
11.4188,0.251079,0.249649
11.4236,0.251794,0.250363
11.4287,0.252509,0.251078
11.4336,0.253269,0.251823
11.4386,0.254052,0.252592
11.4436,0.25481,0.253366
11.4487,0.255554,0.254089
11.4536,0.256304,0.254833
11.4588,0.25704,0.255566
11.4636,0.257776,0.256282
11.4687,0.258534,0.257042
11.4739,0.259281,0.257784
11.4788,0.260009,0.258518
11.4836,0.260736,0.25921
11.4885,0.261481,0.25995
11.4934,0.262248,0.260703
11.4983,0.262989,0.261424
11.5032,0.263724,0.262172
11.5082,0.26449,0.262907
11.5131,0.265211,0.263612
11.5179,0.265934,0.264346
11.5228,0.266668,0.265068
11.5274,0.267414,0.26578
11.5325,0.268135,0.266522
11.5373,0.268886,0.267239
11.5423,0.269617,0.26797
11.5472,0.270366,0.268711
11.552,0.27111,0.269448
11.557,0.271856,0.270206
11.562,0.272597,0.270908
11.5668,0.273361,0.271659
11.5716,0.274096,0.272418
11.5764,0.274854,0.273144
11.5813,0.275608,0.273882
11.5861,0.276329,0.274622
11.5909,0.277079,0.275336
11.5958,0.277829,0.27607
11.6007,0.278542,0.276784
11.6055,0.279311,0.277545
11.6104,0.280055,0.278285
11.615,0.280798,0.278993
11.6197,0.281516,0.279713
11.6244,0.282233,0.28043
11.6291,0.282969,0.281137
11.6339,0.283709,0.281871
11.6387,0.284414,0.282565
11.6434,0.285159,0.283309
11.6483,0.285892,0.284044
11.6531,0.286635,0.284774
11.6576,0.287371,0.285504
11.6622,0.288088,0.286212
11.6669,0.288821,0.286917
11.6717,0.289533,0.287633
11.6764,0.290276,0.288383
11.681,0.291026,0.289112
11.6857,0.291784,0.289853
11.6904,0.292512,0.290578
11.6951,0.293248,0.2913
11.6997,0.293969,0.292012
11.7044,0.294704,0.292739
11.7093,0.295443,0.293477
11.7139,0.296207,0.294207
11.7186,0.296902,0.294905
11.7232,0.297613,0.295599
11.7278,0.298313,0.296307
11.7325,0.29902,0.296991
11.7372,0.299729,0.2977
11.7419,0.300439,0.298397
11.7466,0.301167,0.299102
11.7512,0.301866,0.2998
11.7558,0.302579,0.300499
11.7605,0.303291,0.301211
11.7648,0.303976,0.301897
11.7693,0.304679,0.302589
11.774,0.305404,0.303296
11.7785,0.306136,0.303998
11.783,0.306851,0.304726
11.7875,0.307566,0.305419
11.7921,0.308271,0.306132
11.7967,0.309,0.306841
11.8013,0.309727,0.307546
11.806,0.310433,0.308261
11.8105,0.311133,0.30894
11.8151,0.311854,0.309651
11.8196,0.312588,0.310378
11.8241,0.313294,0.311065
11.8285,0.314005,0.311779
11.8331,0.314736,0.312517
11.8375,0.315487,0.313231
11.8419,0.316227,0.313959
11.8465,0.316947,0.314668
11.8509,0.317649,0.315377
11.8553,0.318364,0.316103
11.8595,0.319083,0.316803
11.8639,0.319806,0.317487
11.8685,0.320544,0.318216
11.873,0.321277,0.318939
11.8774,0.321994,0.319658
11.882,0.322723,0.320359
11.8864,0.323455,0.321086
11.891,0.324173,0.321805
11.8953,0.324885,0.322498
11.8999,0.32563,0.323235
11.9042,0.326388,0.323991
11.9088,0.327127,0.324719
11.9132,0.327853,0.325459
11.9175,0.328597,0.326197
11.9219,0.329335,0.326875
11.9262,0.330058,0.327609
11.9307,0.330806,0.328338
11.935,0.331525,0.329052
11.9394,0.332277,0.329803
11.944,0.333031,0.330542
11.9486,0.333784,0.331274
11.953,0.334513,0.331999
11.9575,0.335244,0.332709
11.9619,0.335992,0.33346
11.9663,0.33675,0.334201
11.9705,0.337489,0.334945
11.975,0.33826,0.335696
11.9793,0.33899,0.336428
11.9838,0.339757,0.337176
11.9879,0.340525,0.337921
11.992,0.341249,0.338637
11.9964,0.342,0.339365
12.0006,0.342745,0.340114
12.0049,0.343508,0.340847
12.0092,0.344251,0.341592
12.0135,0.345027,0.342358
12.0178,0.345789,0.34311
12.022,0.346565,0.343863
12.0263,0.347322,0.344595
12.0305,0.348089,0.345368
12.0346,0.348825,0.346103
12.0389,0.349602,0.346862
12.0431,0.350378,0.34762
12.0476,0.351155,0.348396
12.052,0.3519,0.349131
12.0561,0.352704,0.349904
12.0604,0.353474,0.350668
12.0647,0.35423,0.35143
12.069,0.355012,0.352186
12.0731,0.355789,0.352939
12.0774,0.356533,0.353682
12.0817,0.357334,0.354472
12.0859,0.358155,0.355262
12.0902,0.358964,0.356077
12.0943,0.359794,0.356895
12.0985,0.360591,0.35768
12.1026,0.361389,0.358472
12.1069,0.362196,0.359271
12.1112,0.363003,0.360048
12.1152,0.363812,0.360833
12.1195,0.364593,0.361615
12.124,0.365386,0.362371
12.1281,0.366189,0.363169
12.1321,0.367014,0.363982
12.1361,0.367859,0.364809
12.1402,0.368696,0.365638
12.1446,0.369509,0.366451
12.1489,0.370318,0.367229
