X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.0147742,0.113379,0.0640768,0,0,0,0
0.591919,0.995085,0.297102,0.0167006,0.111748,0.0642241,0,0,0,0
0.164713,0.294026,0.308457,0.0175018,0.10572,0.0616107,0,0,0,0
0.592407,0.43226,0.492382,0.0211213,0.126679,0.0739002,0,0,0,0
0.0839672,0.579141,0.438843,0.0211338,0.136529,0.0788316,0,0,0,0
0.698522,0.0762182,0.441777,0.0222564,0.11514,0.0686983,0,0,0,0
0.0934115,0.389782,0.958546,0.0224409,0.135759,0.0790998,0,0,0,0
0.614045,0.255014,0.896652,0.0239654,0.129355,0.0766604,0,0,0,0
0.648083,0.151273,0.540636,0.0242791,0.116115,0.0701969,0,0,0,0
0.00725534,0.571484,0.170137,0.0246747,0.115848,0.0702612,0,0,0,0
0.365846,0.824917,0.692596,0.0252446,0.116038,0.0706411,0,0,0,0
0.585337,0.912531,0.572062,0.0258075,0.109559,0.0676831,0,0,0,0
0.601449,0.504173,0.793478,0.0258366,0.0999892,0.0629129,0,0,0,0
0.613791,0.0562084,0.436349,0.0279099,0.109487,0.0686983,0,0,0,0
0.552259,0.534797,0.835208,0.0285826,0.0972432,0.0629129,0,0,0,0
0.203139,0.953617,0.87965,0.0300255,0.0646225,0.047324,0,0,0,0
0.119139,0.225825,0.86198,0.0301579,0.107542,0.06885,0,0,0,0
0.666529,0.830576,0.742706,0.0304188,0.117386,0.0739025,0,0,0,0
0.665314,0.464552,0.546441,0.0306393,0.117457,0.0740483,0,0,0,0
0.434591,0.669344,0.302297,0.0309651,0.0826831,0.0568241,0,0,0,0
0.258582,0.698761,0.478778,0.0316412,0.139723,0.085682,0,0,0,0
0.245871,0.389613,0.299854,0.0319412,0.0972278,0.0645845,0,0,0,0
0.941853,0.182262,0.733197,0.032068,0.124111,0.0780893,0,0,0,0
0.954929,0.000310001,0.659117,0.0322263,0.0970736,0.0646499,0,0,0,0
0.418276,0.903858,0.357964,0.0323703,0.147521,0.0899456,0,0,0,0
0.550152,0.618305,0.0231619,0.0325118,0.13568,0.084096,0,0,0,0
0.4323,0.938174,0.584315,0.0326513,0.103403,0.0680269,0,0,0,0
0.54807,0.727119,0.821034,0.0331463,0.130618,0.081882,0,0,0,0
0.736596,0.578177,0.178591,0.0337986,0.148275,0.0910368,0,0,0,0
0.940137,0.304522,0.0931786,0.0338749,0.140468,0.0871714,0,0,0,0
0.392435,0.634027,0.562154,0.0339938,0.0885624,0.0612781,0,0,0,0
0.728678,0.262852,0.360043,0.0341373,0.124905,0.0795214,0,0,0,0
0.310198,0.966505,0.0397644,0.0342803,0.115265,0.0747728,0,0,0,0
0.149057,0.86501,0.720173,0.0346089,0.0982386,0.0664238,0,0,0,0
0.63612,0.0697475,0.584554,0.034621,0.117651,0.0761359,0,0,0,0
0.322292,0.405739,0.0413573,0.0347094,0.117498,0.0761038,0,0,0,0
0.844427,0.117113,0.146627,0.0351974,0.114836,0.0750169,0,0,0,0
0.870163,0.48024,0.110952,0.0361168,0.132759,0.0844378,0,0,0,0
0.403775,0.65124,0.272612,0.0362228,0.0774254,0.0568241,0,0,0,0
0.183364,0.125875,0.736321,0.0362437,0.141893,0.0890684,0,0,0,0
0.807747,0.738761,0.227646,0.0363205,0.133459,0.0848895,0,0,0,0
0.925999,0.805097,0.476672,0.0364973,0.126227,0.0813623,0,0,0,0
0.850412,0.0153988,0.777726,0.0370698,0.0987912,0.0679305,0,0,0,0
0.451872,0.987377,0.481487,0.0371115,0.102628,0.0698698,0,0,0,0
0.724217,0.222198,0.742303,0.0377481,0.111751,0.0747493,0,0,0,0
0.360417,0.670838,0.54826,0.037835,0.0847212,0.0612781,0,0,0,0
0.236359,0.951851,0.022538,0.0380403,0.111505,0.0747728,0,0,0,0
0.768707,0.393446,0.472673,0.0380454,0.120353,0.0791992,0,0,0,0
0.838232,0.184839,0.590952,0.0382638,0.117657,0.0779606,0,0,0,0
0.376322,0.39332,0.363734,0.0382761,0.132124,0.0852002,0,0,0,0
0.66688,0.193779,0.349103,0.0382975,0.123127,0.0807124,0,0,0,0
0.576153,0.803223,0.0242234,0.0383085,0.143406,0.0908574,0,0,0,0
0.289713,0.766961,0.165569,0.0387425,0.118052,0.0783971,0,0,0,0
0.0229465,0.920424,0.327246,0.0388514,0.142932,0.0908916,0,0,0,0
0.329488,0.891826,0.856188,0.0391131,0.118844,0.0789784,0,0,0,0
0.663934,0.470517,0.935104,0.0391345,0.136496,0.0878151,0,0,0,0
0.0486897,0.41236,0.690324,0.0392713,0.0586521,0.0489617,0,0,0,0
0.780037,0.458142,0.873565,0.0394226,0.10711,0.0732662,0,0,0,0
0.146503,0.0262505,0.182482,0.0397489,0.0790186,0.0593837,0,0,0,0
0.436126,0.485246,0.921893,0.0398597,0.123983,0.0819212,0,0,0,0
0.105915,0.655232,0.590461,0.0399441,0.112514,0.0762291,0,0,0,0
0.049517,0.430678,0.693603,0.0400246,0.0578989,0.0489617,0,0,0,0
0.120832,0.494331,0.155098,0.0400311,0.0862256,0.0631283,0,0,0,0
0.889294,0.552269,0.628595,0.0400771,0.116237,0.0781572,0,0,0,0
0.788807,0.43966,0.71078,0.0405573,0.0799948,0.060276,0,0,0,0
0.847159,0.546504,0.690957,0.0407542,0.113238,0.0769964,0,0,0,0
0.0524687,0.379368,0.806846,0.0408015,0.109,0.0749008,0,0,0,0
0.214033,0.970931,0.890715,0.041365,0.053283,0.047324,0,0,0,0
0.337754,0.480289,0.343607,0.041435,0.130109,0.0857718,0,0,0,0
0.571265,0.641024,0.680599,0.041443,0.1176,0.0795213,0,0,0,0
0.0643109,0.275542,0.992245,0.0414996,0.118514,0.080007,0,0,0,0
0.620573,0.866886,0.790283,0.0419279,0.105877,0.0739025,0,0,0,0
0.740474,0.548115,0.767522,0.041933,0.111924,0.0769286,0,0,0,0
0.586492,0.312851,0.670151,0.0419376,0.131201,0.0865692,0,0,0,0
0.406124,0.456776,0.693468,0.0420925,0.0953987,0.0687456,0,0,0,0
0.0709487,0.717889,0.05496,0.0421135,0.116759,0.0794362,0,0,0,0
0.651173,0.0242205,0.00645623,0.0421901,0.117078,0.0796342,0,0,0,0
0.777432,0.863561,0.736493,0.0425909,0.0808609,0.0617259,0,0,0,0
0.0163806,0.293286,0.571505,0.0426138,0.101386,0.0720001,0,0,0,0
0.296022,0.156653,0.79252,0.0427486,0.123811,0.0832799,0,0,0,0
0.570396,0.537663,0.723032,0.0428925,0.101722,0.0723075,0,0,0,0
0.554842,0.273623,0.0144969,0.0429764,0.154753,0.0988646,0,0,0,0
0.0755831,0.616622,0.639172,0.043351,0.109107,0.0762291,0,0,0,0
0.764604,0.966909,0.0803341,0.0435188,0.121308,0.0824136,0,0,0,0
0.0267382,0.103811,0.535582,0.0435228,0.0990994,0.0713111,0,0,0,0
0.0792338,0.238067,0.807134,0.0435692,0.0990806,0.0713249,0,0,0,0
0.183715,0.868365,0.678112,0.0436357,0.0892118,0.0664238,0,0,0,0
0.440893,0.626634,0.146641,0.0438616,0.0846308,0.0642462,0,0,0,0
0.552198,0.154878,0.214876,0.0439634,0.0918127,0.067888,0,0,0,0
0.418778,0.139959,0.58209,0.0439702,0.125514,0.0847421,0,0,0,0
0.441372,0.281852,0.336266,0.0441021,0.0952946,0.0696983,0,0,0,0
0.875453,0.240072,0.126188,0.0444131,0.122915,0.0836639,0,0,0,0
0.862481,0.712817,0.781993,0.0445021,0.114672,0.079587,0,0,0,0
0.940863,0.0750378,0.168547,0.0446397,0.142671,0.0936552,0,0,0,0
0.193421,0.0137543,0.153493,0.0446544,0.0962986,0.0704765,0,0,0,0
0.0465462,0.984777,0.683109,0.0447675,0.128198,0.0864829,0,0,0,0
0.166583,0.193926,0.372993,0.0447995,0.136617,0.0907085,0,0,0,0
0.546891,0.830123,0.536555,0.0448651,0.106298,0.0755816,0,0,0,0
0.0351139,0.442336,0.107043,0.0449233,0.123374,0.0841485,0,0,0,0
0.0522158,0.0698596,0.926896,0.0451724,0.146638,0.0959053,0,0,0,0
0.0523807,0.932906,0.870902,0.0452139,0.111887,0.0785506,0,0,0,0
0.836411,0.544646,0.925909,0.0452393,0.118411,0.0818253,0,0,0,0
0.61942,0.241819,0.519347,0.045346,0.11268,0.0790128,0,0,0,0
0.925374,0.880767,0.333525,0.0454922,0.134832,0.090162,0,0,0,0
0.146274,0.220366,0.511457,0.0454964,0.14666,0.0960784,0,0,0,0
0.91094,0.194032,0.321574,0.0455208,0.121816,0.0836686,0,0,0,0
0.944142,0.49365,0.706434,0.0455413,0.139896,0.0927187,0,0,0,0
0.175846,0.881491,0.188063,0.0457747,0.125821,0.0857979,0,0,0,0
0.654289,0.754801,0.682319,0.0458471,0.121047,0.0834469,0,0,0,0
0.0312678,0.436775,0.822044,0.0459445,0.103016,0.0744802,0,0,0,0
0.0679253,0.0357031,0.238387,0.0459686,0.1136,0.0797845,0,0,0,0
0.997363,0.452526,0.640946,0.0460218,0.109197,0.0776092,0,0,0,0
0.49691,0.568267,0.453761,0.0462619,0.132572,0.089417,0,0,0,0
0.349285,0.823512,0.234959,0.0464392,0.090929,0.0686841,0,0,0,0
0.590339,0.888733,0.513889,0.0465076,0.072742,0.0596248,0,0,0,0
0.00669686,0.344586,0.587644,0.0467427,0.0972575,0.0720001,0,0,0,0
0.11117,0.90787,0.966339,0.0468561,0.140741,0.0937988,0,0,0,0
0.357506,0.927069,0.720522,0.0469146,0.118554,0.0827345,0,0,0,0
0.369832,0.673868,0.815614,0.0469181,0.119898,0.0834078,0,0,0,0
0.454216,0.238694,0.766311,0.046947,0.104608,0.0757776,0,0,0,0
0.878464,0.164096,0.678694,0.0471013,0.117618,0.0823599,0,0,0,0
0.293732,0.267624,0.0898357,0.0471143,0.113951,0.0805326,0,0,0,0
0.118119,0.0312936,0.195457,0.0474048,0.0713627,0.0593837,0,0,0,0
0.137197,0.756973,0.990978,0.0474222,0.121109,0.0842655,0,0,0,0
0.614381,0.880797,0.513845,0.0474239,0.0718257,0.0596248,0,0,0,0
0.662043,0.776101,0.596997,0.0475084,0.134129,0.0908188,0,0,0,0
0.929493,0.788843,0.118528,0.047727,0.118878,0.0833026,0,0,0,0
0.00681688,0.174549,0.557263,0.0478186,0.112961,0.0803898,0,0,0,0
0.934024,0.199171,0.0233073,0.0478734,0.114313,0.0810934,0,0,0,0
0.820305,0.191403,0.0783757,0.0479695,0.132141,0.090055,0,0,0,0
0.963587,0.882768,0.411501,0.0479736,0.115815,0.0818941,0,0,0,0
0.524243,0.535967,0.750326,0.0480756,0.0965394,0.0723075,0,0,0,0
0.634921,0.00396024,0.691437,0.0484821,0.10541,0.0769459,0,0,0,0
0.0519434,0.802512,0.358827,0.0485823,0.113931,0.0812565,0,0,0,0
0.746266,0.402768,0.385803,0.0486815,0.12825,0.0884659,0,0,0,0
0.846313,0.302424,0.098811,0.0488445,0.118483,0.0836639,0,0,0,0
0.617156,0.923035,0.858301,0.0489317,0.100359,0.0746453,0,0,0,0
0.396101,0.480944,0.452155,0.0491915,0.133205,0.0911983,0,0,0,0
0.411298,0.592794,0.244759,0.0492711,0.101402,0.0753364,0,0,0,0
0.599648,0.931327,0.510339,0.0492727,0.0827053,0.065989,0,0,0,0
0.396512,0.978185,0.571604,0.0494645,0.0878168,0.0686407,0,0,0,0
0.0460889,0.347997,0.362212,0.04949,0.116366,0.0829278,0,0,0,0
0.223216,0.416906,0.268307,0.0497587,0.0794104,0.0645845,0,0,0,0
0.245297,0.365355,0.562549,0.0497592,0.107497,0.0786282,0,0,0,0
0.261299,0.934928,0.169279,0.0498479,0.137211,0.0935296,0,0,0,0
0.628329,0.610078,0.240868,0.049859,0.142855,0.0963572,0,0,0,0
0.963514,0.924608,0.816669,0.0499439,0.123295,0.0866194,0,0,0,0
0.99762,0.942431,0.751378,0.0499819,0.125732,0.0878567,0,0,0,0
0.907576,0.43894,0.482441,0.0499982,0.136241,0.0931198,0,0,0,0
0.747973,0.376631,0.874,0.0500882,0.113132,0.0816099,0,0,0,0
0.440005,0.592116,0.146577,0.0501012,0.0783912,0.0642462,0,0,0,0
0.230647,0.291262,0.128507,0.0502088,0.113381,0.0817949,0,0,0,0
0.157383,0.122347,0.870363,0.0506062,0.111467,0.0810363,0,0,0,0
0.434553,0.276647,0.845655,0.0506989,0.126718,0.0887087,0,0,0,0
0.972292,0.851033,0.925914,0.0508384,0.104511,0.0776746,0,0,0,0
0.398607,0.721103,0.871565,0.0509039,0.112715,0.0818096,0,0,0,0
0.781457,0.443361,0.738595,0.050987,0.0695651,0.060276,0,0,0,0
0.269031,0.446874,0.0897552,0.0510557,0.117602,0.0843289,0,0,0,0
0.669982,0.663319,0.612562,0.051074,0.117607,0.0843404,0,0,0,0
0.0729345,0.497855,0.328154,0.0512106,0.115274,0.0832423,0,0,0,0
0.258912,0.318872,0.0806423,0.0513144,0.109751,0.0805326,0,0,0,0
0.235251,0.507355,0.0732602,0.0513568,0.119523,0.08544,0,0,0,0
0.993711,0.929742,0.588423,0.0515978,0.134546,0.0930721,0,0,0,0
0.0414035,0.00101656,0.399628,0.0516474,0.141458,0.0965528,0,0,0,0
0.252862,0.991448,0.93781,0.0517234,0.105759,0.078741,0,0,0,0
