X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.26187,0.544522,0.378024,0,0,1
0.651173,0.0242205,0.00645623,0.281482,0.516872,0.371487,0,0,1
0.157383,0.122347,0.870363,0.341104,0.582431,0.446402,0,0,1
0.539027,0.0364297,0.87754,0.345567,0.452786,0.359945,0,0,1
0.820687,0.875197,0.367458,0.358386,0.564977,0.426516,0,0,1
0.703563,0.361467,0.214394,0.361199,0.467558,0.363542,0,0,1
0.412447,0.841522,0.854283,0.364032,0.554482,0.42131,0,0,0.99
0.00745795,0.299526,0.517687,0.364114,0.598316,0.456009,0,0,0.99
0.568933,0.995371,0.312242,0.364704,0.464958,0.363844,1,0.0127253,1
0.148146,0.654277,0.148022,0.368566,0.602839,0.457906,0,0,1
0.517129,0.887649,0.999645,0.369505,0.472965,0.374651,0,0,0.98
0.434497,0.234344,0.936904,0.374031,0.570393,0.415577,0,0,0.99
0.656684,0.0551614,0.312946,0.390693,0.415699,0.356087,1,0.765903,0.99
0.475196,0.0604497,0.918424,0.390846,0.425084,0.384628,2,0.141472,0.99
0.913803,0.321509,0.222892,0.391028,0.57537,0.418746,0,0,0.96
0.565381,0.829051,0.79233,0.393433,0.529509,0.419519,0,0,0.97
0.017503,0.863004,0.741951,0.394154,0.50811,0.441719,0,0,1
0.121175,0.010545,0.308559,0.39535,0.513314,0.451577,0,0,1
0.891111,0.0129927,0.433588,0.39669,0.526673,0.42725,0,0,0.95
0.955133,0.192877,0.353345,0.400566,0.501172,0.429826,0,0,0.94
0.0298876,0.564475,0.282787,0.402312,0.569093,0.446657,0,0,0.99
0.515289,0.993529,0.507423,0.40347,0.567131,0.417428,0,0,0.99
0.950051,0.256905,0.919858,0.40814,0.519213,0.447475,0,0,0.97
0.788819,0.762391,0.236912,0.411085,0.533837,0.434436,0,0,0.96
0.0996677,0.230049,0.335824,0.411326,0.468029,0.436368,0,0,0.97
0.744955,0.662878,0.715616,0.412514,0.5867,0.478251,0,0,0.98
0.789392,0.251999,0.898585,0.412622,0.518677,0.42101,0,0,0.99
