X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.178304,0.11144,0,0,1
0.651173,0.0242205,0.00645623,0.189157,0.102935,0,0,1
0.157383,0.122347,0.870363,0.221355,0.0963326,0,0,1
0.539027,0.0364297,0.87754,0.223722,0.0516144,0,0,1
0.820687,0.875197,0.367458,0.23049,0.0941273,0,0,1
0.703563,0.361467,0.214394,0.231969,0.0760117,0,0,1
0.412447,0.841522,0.854283,0.233457,0.090397,0,0,1
0.00745795,0.299526,0.517687,0.233499,0.0756716,0,0,1
0.568933,0.995371,0.312242,0.233809,0.0598666,0,0,1
0.148146,0.654277,0.148022,0.235833,0.0763534,0,0,1
0.517129,0.887649,0.999645,0.236325,0.0491774,0,0,0.98
0.434497,0.234344,0.936904,0.23869,0.0765315,0,0,1
0.656684,0.0551614,0.312946,0.247356,0.0423889,0,0,0.99
0.475196,0.0604497,0.918424,0.247435,0.0279019,0,0,1
0.913803,0.321509,0.222892,0.247529,0.0854032,0,0,0.99
0.565381,0.829051,0.79233,0.248774,0.0750798,0,0,0.99
0.017503,0.863004,0.741951,0.249147,0.0266075,0,0,1
0.121175,0.010545,0.308559,0.249765,0.053166,0,0,1
0.891111,0.0129927,0.433588,0.250458,0.0700786,0,0,0.98
0.955133,0.192877,0.353345,0.252458,0.0607804,0,0,1
0.0298876,0.564475,0.282787,0.253358,0.0815522,0,0,0.99
0.515289,0.993529,0.507423,0.253955,0.0456157,0,0,1
0.950051,0.256905,0.919858,0.256358,0.0535762,0,0,1
0.788819,0.762391,0.236912,0.25787,0.0740357,0,0,0.99
0.0996677,0.230049,0.335824,0.257994,0.023848,0,0,1
0.744955,0.662878,0.715616,0.258603,0.0645963,0,0,0.98
0.789392,0.251999,0.898585,0.258659,0.0502049,0,0,1
0.723984,0.331156,0.341339,0.258994,0.0346839,0,0,1
0.480278,0.603053,0.89736,0.259816,0.0411357,0,0,1
0.217537,0.042269,0.737028,0.260221,0.0639476,0,0,0.99
0.9684,0.195655,0.839078,0.260487,0.0494464,0,0,1
0.335652,0.483591,0.0320029,0.260831,0.0694521,0,0,0.99
0.34817,0.752157,0.664833,0.260922,0.0526813,0,0,1
0.428747,0.114727,0.620346,0.262055,0.0512689,0,0,1
0.88185,0.390563,0.858542,0.262125,0.0673859,0,0,0.99
0.0192584,0.988737,0.602632,0.262188,0.0356822,0,0,1
0.144072,0.926215,0.462419,0.262475,0.0506884,0,0,1
0.47043,0.860422,0.0466718,0.26303,0.0224721,0,0,0.99
0.0334049,0.873965,0.658949,0.263914,0.035226,0,0,1
0.00447891,0.473286,0.497228,0.264138,0.0259241,0,0,0.99
0.852072,0.182038,0.908901,0.264572,0.0442919,0,0,1
0.702414,0.234659,0.751036,0.26458,0.0729741,0,0,0.97
0.864846,0.0598318,0.761121,0.264871,0.0794578,0,0,1
0.0179,0.114586,0.0867562,0.265322,0.0475237,0,0,1
0.453584,0.538532,0.0623556,0.26614,0.0523278,0,0,1
0.562792,0.904818,0.382231,0.267186,0.0406182,0,0,1
0.157034,0.432952,0.864387,0.26733,0.050612,0,0,1
0.0772791,0.244599,0.363253,0.26741,0.0144315,0,0,1
0.378272,0.320621,0.404419,0.268434,0.0383203,0,0,1
0.91055,0.447018,0.303278,0.269255,0.0578829,0,0,0.99
0.765853,0.524945,0.657413,0.270354,0.0411867,0,0,1
0.0476086,0.852549,0.744884,0.270358,0.00539638,0,0,0.99
0.150738,0.133554,0.271841,0.270688,0.052858,0,0,1
0.311313,0.610862,0.487181,0.270928,0.0407761,0,0,1
0.63446,0.153525,0.620072,0.271753,0.058763,0,0,0.99
0.771109,0.315389,0.368389,0.271783,0.0218946,0,0,1
0.975051,0.187253,0.0602901,0.271956,0.04089,0,0,0.99
0.312494,0.2694,0.62783,0.272248,0.0423472,0,0,0.98
0.935085,0.652913,0.637012,0.272396,0.0467112,0,0,1
0.394071,0.05413,0.562504,0.273927,0.0393964,0,0,0.99
0.0292842,0.459858,0.466144,0.274012,0.0160497,0,0,0.99
