X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.662109,0.813685,0.733371,0,0,0
0.591919,0.995085,0.297102,0.670096,0.858237,0.730709,0,0,0
0.164713,0.294026,0.308457,0.673175,0.839669,0.742275,0,0,0
0.592407,0.43226,0.492382,0.685668,0.807416,0.734722,0,0,0
0.0839672,0.579141,0.438843,0.685708,0.850061,0.765252,0,0,0
0.698522,0.0762182,0.441777,0.689188,0.79185,0.728553,0,0,0
0.0934115,0.389782,0.958546,0.689745,0.855112,0.75912,0,0,0
0.614045,0.255014,0.896652,0.694195,0.827862,0.759084,0,0,0
0.648083,0.151273,0.540636,0.695078,0.813002,0.735811,0,0,0
0.00725534,0.571484,0.170137,0.696178,0.857564,0.764718,0,0,0
0.365846,0.824917,0.692596,0.697735,0.813322,0.753818,0,0,0
0.585337,0.912531,0.572062,0.699242,0.803763,0.747905,0,0,0
0.601449,0.504173,0.793478,0.699319,0.77767,0.72775,0,0,0
0.613791,0.0562084,0.436349,0.704619,0.776419,0.723409,0,0,0
0.552259,0.534797,0.835208,0.706263,0.770725,0.725436,0,0,0
0.203139,0.953617,0.87965,0.709674,0.755526,0.73249,0,0,0
0.119139,0.225825,0.86198,0.709979,0.80492,0.750299,0,0,0
0.666529,0.830576,0.742706,0.710578,0.808696,0.750837,0,0,0
0.665314,0.464552,0.546441,0.71108,0.782004,0.726251,0,0,0
0.434591,0.669344,0.302297,0.711816,0.769281,0.73464,0,0,0
0.258582,0.698761,0.478778,0.713322,0.837661,0.763846,0,0,0
0.245871,0.389613,0.299854,0.713981,0.793093,0.728673,0,0,0
0.941853,0.182262,0.733197,0.714258,0.82405,0.761023,0,0,0
0.954929,0.000310001,0.659117,0.714602,0.833926,0.76216,0,0,0
0.418276,0.903858,0.357964,0.714913,0.848615,0.753493,0,0,0
0.550152,0.618305,0.0231619,0.715219,0.835946,0.771921,0,0,0
0.4323,0.938174,0.584315,0.715518,0.800256,0.753689,0,0,0
0.54807,0.727119,0.821034,0.716572,0.828198,0.765419,0,0,0
0.736596,0.578177,0.178591,0.71794,0.848401,0.776658,0,0,0
0.940137,0.304522,0.0931786,0.718098,0.834475,0.763318,0,0,0
0.392435,0.634027,0.562154,0.718344,0.776634,0.740295,0,0,0
0.728678,0.262852,0.360043,0.71864,0.820096,0.739642,0,0,0
0.310198,0.966505,0.0397644,0.718934,0.803516,0.749581,0,0,0
0.149057,0.86501,0.720173,0.719605,0.79071,0.748808,0,0,0
0.63612,0.0697475,0.584554,0.71963,0.78845,0.734386,0,0,0
0.322292,0.405739,0.0413573,0.71981,0.8153,0.762479,0,0,0
0.844427,0.117113,0.146627,0.720793,0.815313,0.767436,0,0,0
0.870163,0.48024,0.110952,0.722614,0.833334,0.763321,0,0,0
0.403775,0.65124,0.272612,0.722821,0.758277,0.730971,0,0,0
0.183364,0.125875,0.736321,0.722862,0.842361,0.771917,0,0,0
0.807747,0.738761,0.227646,0.723012,0.832695,0.771422,0,0,0
0.925999,0.805097,0.476672,0.723355,0.825738,0.768087,0,0,0
0.850412,0.0153988,0.777726,0.724457,0.796849,0.758213,0,0,0
