X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.601353,0.18969,0.262906,0.121549,0.335174,0.180675,0,0,1
0.651173,0.0242205,0.00645623,0.130652,0.331703,0.174606,0,0,1
0.157383,0.122347,0.870363,0.158327,0.342626,0.214963,0,0,1
0.539027,0.0364297,0.87754,0.160399,0.260932,0.164161,0,0,1
0.820687,0.875197,0.367458,0.166349,0.352415,0.195253,0,0,1
0.703563,0.361467,0.214394,0.167654,0.323928,0.163515,1,0.0484192,1
0.412447,0.841522,0.854283,0.168969,0.348093,0.193194,0,0,1
0.00745795,0.299526,0.517687,0.169007,0.314521,0.211431,0,0,1
0.568933,0.995371,0.312242,0.169281,0.287531,0.163353,1,0.0703225,1
0.148146,0.654277,0.148022,0.171074,0.31833,0.217548,0,0,1
0.517129,0.887649,0.999645,0.17151,0.267136,0.169376,1,0.0267828,0.99
0.434497,0.234344,0.936904,0.17361,0.320779,0.189435,0,0,1
0.656684,0.0551614,0.312946,0.181344,0.275379,0.157153,1,0.387316,0.99
0.475196,0.0604497,0.918424,0.181415,0.239915,0.172459,2,0.12955,1
0.913803,0.321509,0.222892,0.1815,0.350237,0.188453,0,0,0.99
0.565381,0.829051,0.79233,0.182616,0.334446,0.189673,0,0,1
0.017503,0.863004,0.741951,0.182951,0.234168,0.204296,0,0,1
0.121175,0.010545,0.308559,0.183506,0.286464,0.217631,0,0,1
0.891111,0.0129927,0.433588,0.184128,0.319452,0.195294,0,0,1
0.955133,0.192877,0.353345,0.185927,0.303224,0.193141,0,0,1
0.0298876,0.564475,0.282787,0.186738,0.343641,0.207106,0,0,0.99
0.515289,0.993529,0.507423,0.187275,0.275513,0.186683,1,0.00437247,1
0.950051,0.256905,0.919858,0.189443,0.296202,0.205209,0,0,1
0.788819,0.762391,0.236912,0.19081,0.338038,0.199667,0,0,0.99
0.0996677,0.230049,0.335824,0.190922,0.237752,0.204428,0,0,1
0.744955,0.662878,0.715616,0.191473,0.353322,0.219662,0,0,0.99
0.789392,0.251999,0.898585,0.191523,0.291385,0.188705,1,0.0235619,1
0.723984,0.331156,0.341339,0.191827,0.260046,0.167093,1,0.297978,1
0.480278,0.603053,0.89736,0.192572,0.272158,0.214844,0,0,1
0.217537,0.042269,0.737028,0.192938,0.325088,0.191889,1,0.0151156,0.99
0.9684,0.195655,0.839078,0.19318,0.292466,0.198319,0,0,1
0.335652,0.483591,0.0320029,0.193491,0.331911,0.209969,0,0,0.99
0.34817,0.752157,0.664833,0.193573,0.295075,0.209588,0,0,1
0.428747,0.114727,0.620346,0.194601,0.296096,0.20105,0,0,1
0.88185,0.390563,0.858542,0.194665,0.327436,0.21733,0,0,1
0.0192584,0.988737,0.602632,0.194722,0.263969,0.216192,0,0,1
0.144072,0.926215,0.462419,0.194983,0.293476,0.214909,0,0,1
0.47043,0.860422,0.0466718,0.195487,0.243159,0.182661,2,0.273889,1
0.0334049,0.873965,0.658949,0.19629,0.26817,0.199377,0,0,1
0.00447891,0.473286,0.497228,0.196494,0.247482,0.202752,0,0,0.99
0.852072,0.182038,0.908901,0.196888,0.28602,0.187269,1,0.0848003,1
0.702414,0.234659,0.751036,0.196896,0.339136,0.197508,0,0,0.98
0.864846,0.0598318,0.761121,0.197161,0.352171,0.196284,1,0.00643168,1
0.0179,0.114586,0.0867562,0.197571,0.292039,0.206162,0,0,1
0.453584,0.538532,0.0623556,0.198316,0.299619,0.205786,0,0,1
0.562792,0.904818,0.382231,0.199268,0.283894,0.186378,2,0.124128,1
0.157034,0.432952,0.864387,0.1994,0.298772,0.216949,0,0,1
0.0772791,0.244599,0.363253,0.199473,0.229201,0.198727,1,0.0468905,1
0.378272,0.320621,0.404419,0.200407,0.276471,0.183833,1,0.135936,1
0.91055,0.447018,0.303278,0.201156,0.315545,0.202199,0,0,0.99
0.765853,0.524945,0.657413,0.20216,0.28417,0.218448,0,0,1
0.0476086,0.852549,0.744884,0.202164,0.214955,0.191487,1,0.864046,0.99
0.150738,0.133554,0.271841,0.202466,0.304912,0.208621,0,0,1
0.311313,0.610862,0.487181,0.202685,0.282242,0.224662,0,0,1
0.63446,0.153525,0.620072,0.20344,0.317765,0.195284,1,0.0544515,0.99
0.771109,0.315389,0.368389,0.203467,0.248406,0.174553,3,0.299518,1
0.975051,0.187253,0.0602901,0.203625,0.285985,0.20391,0,0,1
0.312494,0.2694,0.62783,0.203893,0.288418,0.213971,0,0,0.98
0.935085,0.652913,0.637012,0.204028,0.295682,0.227896,0,0,1
0.394071,0.05413,0.562504,0.205431,0.285266,0.200316,1,0.0316321,0.99
0.0292842,0.459858,0.466144,0.205509,0.238468,0.203394,2,0.0299271,0.99
0.312152,0.187132,0.619614,0.205741,0.28657,0.212118,0,0,0.98
0.341775,0.849218,0.706536,0.206056,0.299407,0.202477,1,0.0525317,0.99
0.688386,0.518369,0.66447,0.206105,0.280225,0.215828,0,0,1
0.071498,0.39296,0.953146,0.20624,0.321132,0.215602,0,0,0.99
0.327117,0.492066,0.57802,0.20634,0.322826,0.221629,0,0,1
0.315455,0.311146,0.375375,0.206618,0.270259,0.190788,1,0.115742,1
0.188571,0.323181,0.758861,0.206648,0.312146,0.205017,1,0.0169045,1
0.430215,0.0752348,0.901845,0.206875,0.231582,0.184979,5,0.646946,0.99
0.855809,0.650903,0.993497,0.207217,0.292247,0.2144,0,0,0.99
0.12472,0.321547,0.553052,0.207793,0.292843,0.196212,1,0.226396,1
0.308303,0.458195,0.206017,0.208471,0.309533,0.202954,1,0.0330333,0.98
0.117063,0.154472,0.526251,0.208709,0.351016,0.205959,1,0.0363349,0.98
0.897524,0.753788,0.956046,0.209225,0.322258,0.205294,1,0.0255847,1
0.694177,0.485024,0.221002,0.210621,0.291743,0.188461,2,0.298055,1
0.666672,0.0853156,0.710244,0.210629,0.321003,0.194456,2,0.129091,1
0.593806,0.58424,0.134011,0.210674,0.334643,0.205593,1,0.0294188,1
0.0595124,0.792903,0.0912923,0.210882,0.32124,0.206716,1,0.0576276,0.98
0.254586,0.985027,0.301943,0.21112,0.297693,0.203902,2,0.0429177,0.98
0.725006,0.346798,0.881467,0.212169,0.29734,0.203194,2,0.0610836,1
0.856255,0.508221,0.553205,0.213202,0.277622,0.219731,0,0,1
0.531296,0.0975895,0.627096,0.213445,0.298791,0.200554,3,0.0813177,0.99
0.931,0.0910994,0.528543,0.213584,0.29827,0.209336,3,0.0559307,1
0.209089,0.306172,0.995645,0.213657,0.31033,0.205613,1,0.0849156,1
0.0505438,0.803854,0.642487,0.213664,0.270319,0.208128,2,0.111083,1
0.420938,0.836191,0.039244,0.213896,0.25109,0.19437,5,0.337748,0.99
0.730112,0.650763,0.40673,0.214123,0.308583,0.215176,0,0,0.99
0.168424,0.950105,0.577687,0.214328,0.315192,0.218242,0,0,1
0.806509,0.650016,0.15354,0.214332,0.328786,0.216438,0,0,0.98
0.392897,0.116949,0.2469,0.214915,0.342911,0.174004,3,0.457991,0.96
0.0561543,0.804096,0.753226,0.215217,0.252067,0.200221,2,0.524039,0.99
0.303348,0.674153,0.460539,0.215231,0.271815,0.216298,0,0,0.99
0.0126821,0.137633,0.22894,0.215379,0.310295,0.206521,1,0.0512421,0.97
0.490674,0.134056,0.10309,0.215824,0.280307,0.170962,4,0.55486,0.98
0.877718,0.399142,0.0616684,0.216111,0.30254,0.204131,2,0.0719852,1
0.485693,0.584012,0.959129,0.216481,0.257435,0.207367,1,0.344854,0.98
0.367501,0.322552,0.638196,0.216569,0.252012,0.214338,1,0.0116016,0.99
0.892023,0.462288,0.942311,0.216688,0.284896,0.216794,0,0,0.97
0.998379,0.43266,0.260657,0.21687,0.299831,0.211509,3,0.0893597,0.99
0.42714,0.664362,0.561032,0.217655,0.321688,0.223791,0,0,1
0.27526,0.219482,0.706903,0.217727,0.304544,0.205513,1,0.131994,0.95
0.244212,0.132003,0.372119,0.217751,0.309767,0.200565,1,0.109805,0.99
0.984171,0.158152,0.598351,0.218093,0.266584,0.204592,1,0.199377,0.98
0.619358,0.350962,0.283626,0.218164,0.277171,0.164917,4,0.840501,0.99
0.00785259,0.0108909,0.564274,0.218227,0.240464,0.206263,1,0.661401,1
0.728622,0.356738,0.7907,0.218426,0.294792,0.212594,1,0.0347187,0.99
0.0586515,0.0152214,0.33384,0.218861,0.251109,0.200666,1,0.68214,0.98
0.638451,0.381784,0.589882,0.218928,0.331992,0.201285,1,0.111806,0.97
0.439149,0.971676,0.381622,0.21918,0.318341,0.187244,4,0.274131,0.96
0.757336,0.400742,0.524506,0.219295,0.29239,0.199599,1,0.128483,0.99
0.51967,0.986864,0.45184,0.219361,0.243427,0.186014,3,0.794757,0.98
0.834192,0.817307,0.775125,0.219459,0.331273,0.205505,1,0.0934166,0.98
0.271711,0.257456,0.951802,0.219683,0.304305,0.201024,3,0.233088,0.97
0.233974,0.19674,0.201855,0.219974,0.312616,0.200034,1,0.129407,0.98
0.990505,0.978003,0.371722,0.219974,0.305256,0.208379,4,0.188782,0.98
0.190066,0.430276,0.292841,0.22003,0.329544,0.217534,1,0.0125581,0.99
0.161206,0.459105,0.791026,0.220777,0.277395,0.215962,1,0.149415,1
0.384238,0.479341,0.438624,0.221419,0.297632,0.205258,1,0.0968957,0.99
0.387477,0.344509,0.631132,0.221499,0.247082,0.213725,1,0.0412664,0.98
0.370828,0.457231,0.662461,0.221562,0.307605,0.225755,0,0,0.98
0.687644,0.256581,0.0626097,0.221774,0.326181,0.176274,3,0.495999,0.98
0.265209,0.827924,0.0751024,0.222022,0.322589,0.216524,2,0.0596929,0.99
0.293861,0.167755,0.811203,0.22225,0.30025,0.194902,4,0.434868,0.98
0.793358,0.324228,0.348913,0.222417,0.23433,0.179982,5,0.897398,0.99
0.334982,0.570178,0.220059,0.22244,0.324441,0.215833,2,0.0733029,0.97
0.52967,0.185314,0.00546356,0.222442,0.300741,0.17958,5,0.529946,0.99
0.279523,0.949383,0.477371,0.222679,0.333212,0.214291,2,0.0443157,0.97
0.529131,0.60367,0.889752,0.222713,0.242017,0.205836,3,0.886572,0.97
0.641215,0.229975,0.50282,0.222726,0.325612,0.179498,1,0.433604,0.99
0.393566,0.228428,0.586068,0.222831,0.275468,0.202787,2,0.125446,0.95
0.207198,0.334658,0.845221,0.223058,0.295736,0.205702,2,0.191882,0.98
0.647305,0.838094,0.164043,0.223332,0.353726,0.18675,5,0.368819,0.97
0.0377884,0.603832,0.480689,0.223473,0.332234,0.223614,0,0,0.99
0.498215,0.993881,0.724437,0.223711,0.324461,0.198294,5,0.381366,0.98
0.249815,0.87531,0.21175,0.223828,0.279086,0.217658,2,0.0312662,0.97
0.763766,0.324494,0.0561027,0.223961,0.323994,0.187867,3,0.298716,0.96
0.841222,0.397357,0.992136,0.223991,0.29466,0.208141,4,0.0916524,0.98
0.933298,0.286631,0.0305129,0.224144,0.30524,0.208089,5,0.201719,0.98
0.618979,0.169962,0.861535,0.224244,0.296757,0.180924,5,0.518953,0.97
0.957852,0.481211,0.609231,0.224619,0.286682,0.213177,2,0.132113,0.99
0.567687,0.132917,0.77362,0.224806,0.305072,0.191375,5,0.508727,0.93
0.399155,0.142972,0.491763,0.225427,0.31911,0.190352,3,0.277205,0.96
0.767015,0.10892,0.038191,0.225473,0.277624,0.170951,3,0.975112,0.95
0.979404,0.700943,0.611456,0.22551,0.2742,0.219303,2,0.214986,0.98
0.378332,0.807078,0.533157,0.22554,0.314648,0.223205,2,0.0385066,0.98
0.365236,0.459756,0.915862,0.225552,0.315688,0.219201,3,0.125604,0.97
0.823134,0.484752,0.644411,0.22565,0.273334,0.217937,1,0.264324,0.99
0.0668165,0.847275,0.959735,0.225808,0.288117,0.220086,2,0.045419,0.97
0.465105,0.624345,0.741684,0.225975,0.30224,0.220176,2,0.0557816,0.96
0.858257,0.486421,0.680555,0.225997,0.276077,0.223259,1,0.0641864,0.97
0.279135,0.451034,0.677649,0.226254,0.314711,0.229317,0,0,0.97
0.236959,0.654934,0.124835,0.226537,0.262866,0.195617,1,0.873505,0.96
0.684496,0.320382,0.827692,0.226694,0.284492,0.204581,6,0.154047,0.99
0.155098,0.504603,0.913375,0.226794,0.286219,0.218436,2,0.234332,0.99
0.265459,0.603607,0.45711,0.226929,0.257998,0.215945,1,0.493741,0.96
0.917071,0.0949918,0.598136,0.22719,0.284665,0.217512,4,0.0900942,0.98
0.0558441,0.313498,0.587909,0.228106,0.255422,0.193259,2,1.07527,0.95
0.307334,0.0231965,0.6206,0.228134,0.314313,0.22125,5,0.0750582,0.96
0.938059,0.774664,0.0628756,0.228685,0.316616,0.211058,2,0.110719,1
0.719287,0.259374,0.427416,0.228751,0.298945,0.175095,5,0.631788,0.99
0.874186,0.495183,0.98416,0.228756,0.272827,0.221991,3,0.0328284,0.96
0.940225,0.811295,0.342904,0.228766,0.304101,0.19971,2,0.526021,0.98
0.141045,0.951445,0.403028,0.228877,0.259582,0.209933,2,0.686053,0.98
0.794825,0.159847,0.298866,0.228946,0.306397,0.172621,9,0.720303,0.99
0.191204,0.874717,0.236415,0.229042,0.28252,0.21926,3,0.140007,0.98
0.940019,0.378682,0.119414,0.229389,0.295411,0.208443,4,0.401673,0.97
0.507097,0.777812,0.285164,0.229402,0.300251,0.210043,3,0.128779,0.99
0.964425,0.188517,0.605979,0.229568,0.255109,0.203805,4,0.429654,0.97
0.992639,0.624743,0.817799,0.229803,0.314257,0.232639,0,0,0.96
0.664991,0.404228,0.303194,0.229865,0.273492,0.177498,4,0.833794,0.97
0.497218,0.802509,0.0816244,0.229913,0.268241,0.193895,6,0.60153,0.95
0.448336,0.54885,0.609691,0.230048,0.329751,0.226662,1,0.0155751,0.94
0.185026,0.142904,0.423931,0.230354,0.297164,0.214488,4,0.124966,0.99
0.376141,0.97397,0.445954,0.230361,0.306937,0.199953,3,0.20426,0.97
0.199464,0.15243,0.731963,0.230474,0.269076,0.194977,2,0.603829,0.95
0.815214,0.651168,0.0397662,0.230693,0.268771,0.215473,2,0.371804,0.96
0.0413172,0.471274,0.986004,0.231,0.296371,0.225388,2,0.150719,0.99
0.933539,0.692346,0.0399875,0.231056,0.306821,0.220225,3,0.0936174,0.96
0.528296,0.619599,0.546836,0.231083,0.299363,0.226532,1,0.0210156,0.98
0.77805,0.830571,0.155229,0.231096,0.297752,0.193258,4,0.361928,0.96
0.465878,0.380893,0.0191253,0.231277,0.284105,0.196194,6,0.279496,0.99
0.523032,0.139572,0.93811,0.23136,0.275947,0.178348,7,0.83435,0.99
0.972562,0.82256,0.710354,0.231382,0.251169,0.202392,4,1.14525,0.98
0.438519,0.73474,0.505741,0.231468,0.307875,0.230002,2,0.0123836,0.99
0.510473,0.47672,0.463207,0.231579,0.309483,0.200157,1,0.211164,0.96
0.472978,0.762708,0.927557,0.231662,0.29244,0.199996,7,0.647549,0.95
0.70662,0.491546,0.00831918,0.231676,0.28928,0.208016,3,0.140042,0.98
0.592196,0.222247,0.834048,0.231899,0.289102,0.192378,6,0.360923,0.95
0.824123,0.548799,0.481161,0.232048,0.301912,0.219237,3,0.0648648,0.97
0.500677,0.050603,0.429551,0.23212,0.284922,0.179856,5,0.545778,0.98
0.117021,0.459272,0.618876,0.232233,0.313399,0.215969,2,0.180477,0.99
0.231075,0.139978,0.746057,0.232293,0.267256,0.194918,4,0.648291,0.93
0.319882,0.710644,0.903384,0.232332,0.267788,0.207472,5,0.364511,0.96
0.176478,0.422496,0.388712,0.232403,0.317171,0.220508,2,0.116984,0.98
0.116797,0.182224,0.956863,0.232411,0.271086,0.189467,4,1.00531,0.99
0.289479,0.388239,0.179942,0.232538,0.285466,0.203198,4,0.228245,0.98
0.0822362,0.721811,0.184067,0.232632,0.272089,0.198169,2,0.886106,0.92
0.90464,0.159298,0.577568,0.232713,0.295841,0.210276,5,0.298362,0.96
0.670541,0.599593,0.485841,0.232753,0.279621,0.218701,1,0.0717698,0.95
0.60877,0.481536,0.444623,0.233037,0.272833,0.197443,2,0.252266,0.95
0.746158,0.213027,0.37124,0.233368,0.303894,0.170576,10,0.895516,1
0.166487,0.504054,0.0628374,0.233629,0.321222,0.210444,2,0.327212,0.98
0.987306,0.0925339,0.350958,0.23363,0.291329,0.208166,8,0.52486,0.97
0.301736,0.232941,0.801398,0.233862,0.288638,0.20333,5,0.386618,0.92
0.426914,0.321436,0.362651,0.234106,0.264527,0.180355,5,0.688066,0.96
0.980719,0.0792591,0.265785,0.234225,0.291449,0.206182,9,0.267308,0.98
0.846187,0.159484,0.248285,0.23431,0.301033,0.18153,8,0.532995,0.96
0.941406,0.688106,0.574779,0.234776,0.275801,0.221115,3,0.472301,0.97
0.996195,0.3739,0.141573,0.234835,0.289965,0.211567,5,0.453603,0.96
0.0923784,0.00629551,0.142178,0.235097,0.301358,0.220256,5,0.213566,0.94
0.913173,0.15109,0.386982,0.235119,0.254032,0.196779,8,1.17932,0.92
0.471756,0.22239,0.434259,0.235154,0.338866,0.176703,4,0.681653,0.97
0.881868,0.81736,0.160011,0.235333,0.32345,0.205736,5,0.276013,0.95
0.328567,0.0652424,0.804225,0.23553,0.301964,0.203227,9,0.414929,0.97
0.833898,0.788887,0.527557,0.235833,0.311099,0.208323,3,0.37104,0.95
0.0890848,0.758921,0.670356,0.235838,0.279094,0.215965,5,0.335672,0.97
0.0971838,0.223817,0.765074,0.235916,0.316459,0.197614,5,0.609105,0.95
0.59932,0.446023,0.447935,0.235935,0.269935,0.193304,3,0.330588,0.98
0.866794,0.571618,0.761047,0.236467,0.326429,0.225449,3,0.168056,0.98
0.195528,0.201138,0.0516656,0.236476,0.333466,0.204907,4,0.386155,0.99
0.0363659,0.692346,0.0335957,0.236492,0.289333,0.209382,3,0.406731,0.98
0.521643,0.326529,0.0380636,0.236508,0.308815,0.186545,5,0.449884,0.99
0.173492,0.942343,0.953609,0.236584,0.324371,0.204532,3,0.397064,0.99
0.305158,0.71035,0.875892,0.2366,0.26352,0.208713,5,0.402565,0.93
0.270986,0.31935,0.757902,0.236769,0.289159,0.213684,4,0.337387,0.91
0.721008,0.50836,0.447173,0.237134,0.331018,0.205325,3,0.199549,0.98
0.312837,0.078837,0.527712,0.237232,0.29719,0.208664,6,0.298707,0.96
0.590585,0.931307,0.633471,0.237289,0.327228,0.21328,7,0.230427,0.95
0.512474,0.349949,0.956186,0.237429,0.291027,0.200412,5,0.526552,0.95
0.546162,0.649082,0.909357,0.237751,0.273833,0.213645,7,0.758403,0.92
0.687959,0.720149,0.945528,0.237945,0.331081,0.200583,6,0.292448,0.94
0.472465,0.212494,0.86661,0.237952,0.256437,0.197678,7,1.3372,0.92
0.286805,0.172453,0.144619,0.238196,0.301564,0.197073,5,0.298872,0.98
0.539245,0.672453,0.518204,0.238262,0.292184,0.232607,1,0.0247269,0.95
0.516934,0.551246,0.669923,0.238431,0.321368,0.232849,1,0.0243452,0.92
0.497152,0.145284,0.0634917,0.238641,0.25749,0.179288,11,0.738953,0.95
0.218364,0.0205654,0.271874,0.238709,0.270104,0.210101,5,0.695802,0.95
0.8281,0.258096,0.627079,0.238815,0.332762,0.213496,4,0.255977,0.95
0.781291,0.469694,0.656287,0.23882,0.259539,0.217833,6,0.959316,0.94
0.73776,0.638719,0.210256,0.238948,0.30417,0.219822,6,0.311815,0.95
0.0885967,0.329437,0.793956,0.239082,0.312787,0.21032,6,0.304351,0.94
0.982936,0.0543138,0.753313,0.239714,0.315637,0.208694,8,0.34477,0.91
0.37159,0.251714,0.570594,0.239906,0.258393,0.206106,8,0.585642,0.95
0.0576667,0.701149,0.989966,0.239989,0.285835,0.213903,3,0.340339,0.92
0.711304,0.842135,0.659886,0.239991,0.338395,0.214889,6,0.182942,0.96
0.376001,0.102971,0.591881,0.240023,0.25568,0.209308,9,1.23955,0.94
0.16795,0.0572742,0.333318,0.24009,0.254107,0.204703,8,1.41349,0.97
0.831728,0.255667,0.106726,0.240256,0.330845,0.189007,8,0.443421,0.94
0.450716,0.220369,0.574469,0.240479,0.2817,0.199275,8,0.392774,0.92
0.477455,0.683734,0.822358,0.240635,0.302766,0.20985,7,0.489109,0.93
0.863417,0.983599,0.0767376,0.240657,0.349014,0.186859,6,0.594435,0.97
0.52732,0.693371,0.457721,0.240847,0.303363,0.231149,3,0.0433376,0.98
0.332732,0.680024,0.0899482,0.240919,0.27338,0.21525,7,0.322148,0.91
0.661606,0.708431,0.361823,0.240921,0.314299,0.217201,6,0.250731,0.9
0.904936,0.999199,0.357655,0.241048,0.262532,0.203251,10,1.18955,0.97
0.0839254,0.99345,0.225254,0.241148,0.276347,0.208586,9,0.914334,0.98
0.213001,0.632477,0.54311,0.241148,0.31784,0.228288,3,0.272571,0.94
0.41356,0.400083,0.0681569,0.241159,0.305503,0.198605,6,0.406895,0.95
0.691891,0.289268,0.386395,0.241267,0.261215,0.171945,10,1.15231,0.9
0.509656,0.553871,0.05735,0.241272,0.256663,0.212857,9,1.21834,0.99
0.677402,0.941372,0.54195,0.241409,0.311074,0.205059,9,0.241553,0.96
0.720639,0.512871,0.048634,0.241566,0.279389,0.209168,4,0.2607,0.94
0.0465134,0.383005,0.558208,0.241567,0.269685,0.19788,5,1.17491,0.95
0.564337,0.174257,0.718868,0.241601,0.293494,0.20511,11,0.376461,0.94
0.775679,0.154641,0.435175,0.241605,0.324846,0.182821,11,0.596281,0.96
