X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.121549,0.335174,0.228361,0,0,1,0
0.651173,0.0242205,0.00645623,0.130652,0.331703,0.231178,0,0,1,0
0.157383,0.122347,0.870363,0.158327,0.342626,0.250476,0,0,1,0
0.539027,0.0364297,0.87754,0.160399,0.260932,0.210665,0,0,1,0
0.820687,0.875197,0.367458,0.166349,0.352415,0.259382,0,0,1,0
0.703563,0.361467,0.214394,0.167654,0.323928,0.245791,0,0,1,0
0.412447,0.841522,0.854283,0.168969,0.348093,0.258531,0,0,1,0
0.00745795,0.299526,0.517687,0.169007,0.314521,0.241764,0,0,1,0
0.568933,0.995371,0.312242,0.169281,0.287531,0.228406,0,0,1,0
0.148146,0.654277,0.148022,0.171074,0.31833,0.244702,0,0,1,0
0.517129,0.887649,0.999645,0.17151,0.267136,0.219323,0,0,0.99,0
0.434497,0.234344,0.936904,0.17361,0.320779,0.247194,0,0,1,0
0.656684,0.0551614,0.312946,0.181344,0.275379,0.228361,0,0,0.99,0
0.475196,0.0604497,0.918424,0.181415,0.239915,0.210665,0,0,1,0
0.913803,0.321509,0.222892,0.1815,0.350237,0.265868,0,0,0.99,0
0.565381,0.829051,0.79233,0.182616,0.334446,0.258531,0,0,1,0
0.017503,0.863004,0.741951,0.182951,0.234168,0.208559,0,0,1,0
0.121175,0.010545,0.308559,0.183506,0.286464,0.234985,0,0,1,0
0.891111,0.0129927,0.433588,0.184128,0.319452,0.25179,0,0,1,0
0.955133,0.192877,0.353345,0.185927,0.303224,0.244576,0,0,1,0
0.0298876,0.564475,0.282787,0.186738,0.343641,0.265189,0,0,0.99,0
0.515289,0.993529,0.507423,0.187275,0.275513,0.231394,0,0,1,0
0.950051,0.256905,0.919858,0.189443,0.296202,0.242823,0,0,1,0
0.788819,0.762391,0.236912,0.19081,0.338038,0.264424,0,0,0.99,0
0.0996677,0.230049,0.335824,0.190922,0.237752,0.214337,0,0,1,0
0.744955,0.662878,0.715616,0.191473,0.353322,0.272398,0,0,0.99,0
0.789392,0.251999,0.898585,0.191523,0.291385,0.241454,0,0,1,0
0.723984,0.331156,0.341339,0.191827,0.260046,0.225937,0,0,1,0
0.480278,0.603053,0.89736,0.192572,0.272158,0.232365,0,0,1,0
0.217537,0.042269,0.737028,0.192938,0.325088,0.259013,0,0,0.99,0
0.9684,0.195655,0.839078,0.19318,0.292466,0.242823,0,0,1,0
0.335652,0.483591,0.0320029,0.193491,0.331911,0.262701,0,0,0.99,0
0.34817,0.752157,0.664833,0.193573,0.295075,0.244324,0,0,1,0
0.428747,0.114727,0.620346,0.194601,0.296096,0.245349,0,0,1,0
0.88185,0.390563,0.858542,0.194665,0.327436,0.26105,0,0,1,0
0.0192584,0.988737,0.602632,0.194722,0.263969,0.229345,0,0,1,0
0.144072,0.926215,0.462419,0.194983,0.293476,0.244229,0,0,1,0
0.47043,0.860422,0.0466718,0.195487,0.243159,0.219323,0,0,1,0
0.0334049,0.873965,0.658949,0.19629,0.26817,0.23223,0,0,1,0
0.00447891,0.473286,0.497228,0.196494,0.247482,0.221988,0,0,0.99,0
