X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty
0.599766,0.355404,0.780285,0.67995,0.780157,0.681724,0,0,1
0.697405,0.285569,0.372952,0.679954,0.723315,0.634494,3,0.65765,0.99
0.386974,0.910238,0.0870409,0.680229,0.765348,0.664185,3,0.129799,0.99
0.574512,0.869665,0.652622,0.680323,0.782302,0.680008,1,0.00192186,0.98
0.769212,0.126322,0.911687,0.680726,0.766013,0.644898,2,0.487569,0.97
0.570185,0.0355415,0.762793,0.680881,0.751754,0.657329,2,0.41976,0.99
0.0131803,0.310537,0.23525,0.68095,0.75345,0.674205,2,0.162163,0.99
0.313359,0.841985,0.554179,0.681012,0.76318,0.690706,0,0,0.99
0.125315,0.85479,0.136385,0.681093,0.767196,0.683144,0,0,0.98
0.178875,0.0994627,0.0361821,0.68149,0.776076,0.667372,1,0.203182,1
0.621787,0.656011,0.553447,0.681736,0.770279,0.695775,0,0,1
0.95699,0.146363,0.0417645,0.681777,0.720139,0.669841,3,0.0869051,0.99
0.0903769,0.319276,0.946301,0.68187,0.750267,0.676215,1,0.0614821,1
0.99846,0.143869,0.326485,0.682376,0.727367,0.672726,2,0.33468,1
0.77217,0.1372,0.59097,0.682617,0.757317,0.66808,1,0.0938699,0.98
0.943012,0.646151,0.197275,0.683008,0.791524,0.68496,0,0,0.97
0.751782,0.290037,0.619488,0.683058,0.778905,0.672525,1,0.063439,0.99
0.0977916,0.718485,0.214113,0.683346,0.748132,0.66733,1,0.37527,0.99
0.964351,0.366999,0.780073,0.68336,0.780507,0.686802,0,0,0.98
0.033055,0.897925,0.780914,0.683361,0.708594,0.667998,2,0.716029,1
0.67601,0.705577,0.711781,0.683553,0.742683,0.678703,1,0.144537,1
0.230744,0.480031,0.749844,0.683737,0.769857,0.694841,0,0,0.98
0.143687,0.261307,0.707338,0.684094,0.763534,0.675454,1,0.0971204,0.99
0.526665,0.936501,0.364723,0.684162,0.71927,0.653229,4,0.579817,0.98
0.597587,0.136951,0.447032,0.684429,0.782024,0.638047,2,0.608843,0.98
0.299204,0.473487,0.668474,0.684597,0.740238,0.691826,0,0,1
0.171435,0.842354,0.202897,0.685309,0.752182,0.683039,1,0.0276487,1
0.940442,0.394224,0.0477534,0.685387,0.766354,0.681391,1,0.0213073,0.98
0.0704863,0.256555,0.734164,0.685428,0.7622,0.674906,1,0.121044,0.97
0.204491,0.36322,0.537451,0.685511,0.749255,0.683233,1,0.026321,0.99
0.233974,0.19674,0.201855,0.685779,0.769965,0.668424,1,0.11251,0.98
0.990505,0.978003,0.371722,0.685779,0.756224,0.679588,4,0.103403,0.98
0.190066,0.430276,0.292841,0.68582,0.722202,0.685922,0,0,0.99
0.161206,0.459105,0.791026,0.686374,0.746233,0.68426,1,0.0652746,1
0.384238,0.479341,0.438624,0.68685,0.763625,0.673586,1,0.0794442,0.99
0.387477,0.344509,0.631132,0.686909,0.778154,0.682049,1,0.0257743,0.99
0.370828,0.457231,0.662461,0.686956,0.758289,0.693019,0,0,0.99
0.687644,0.256581,0.0626097,0.687112,0.76279,0.644586,3,0.462136,0.99
0.265209,0.827924,0.0751024,0.687296,0.766445,0.687446,0,0,0.99
0.293861,0.167755,0.811203,0.687465,0.775711,0.666161,2,0.335953,1
0.793358,0.324228,0.348913,0.687588,0.702483,0.648267,5,0.669396,1
0.334982,0.570178,0.220059,0.687605,0.752941,0.684387,2,0.0165729,0.97
0.52967,0.185314,0.00546356,0.687607,0.735014,0.649243,5,0.471745,1
0.279523,0.949383,0.477371,0.687782,0.777037,0.682564,1,0.02754,0.99
0.529131,0.60367,0.889752,0.687807,0.711888,0.674911,1,0.659367,0.98
0.641215,0.229975,0.50282,0.687817,0.788239,0.64777,1,0.400551,0.99
0.393566,0.228428,0.586068,0.687894,0.735464,0.671054,1,0.105267,0.95
0.207198,0.334658,0.845221,0.688061,0.763318,0.676927,1,0.122564,0.99
0.647305,0.838094,0.164043,0.688264,0.798279,0.656374,4,0.320271,0.98
0.0377884,0.603832,0.480689,0.688368,0.752975,0.692176,0,0,0.99
0.498215,0.993881,0.724437,0.688543,0.729814,0.669475,3,0.283921,0.99
0.249815,0.87531,0.21175,0.68863,0.73878,0.685881,1,0.0139165,0.97
0.763766,0.324494,0.0561027,0.688728,0.774268,0.656085,3,0.269572,0.98
0.841222,0.397357,0.992136,0.68875,0.756812,0.676357,2,0.0715804,0.99
0.933298,0.286631,0.0305129,0.688863,0.751416,0.676298,3,0.103668,0.98
0.618979,0.169962,0.861535,0.688936,0.759576,0.650507,4,0.457751,0.98
0.957852,0.481211,0.609231,0.689213,0.787369,0.684082,1,0.0589931,1
0.567687,0.132917,0.77362,0.689351,0.73969,0.660934,3,0.391212,0.94
0.399155,0.142972,0.491763,0.689807,0.753698,0.658505,1,0.246845,0.98
0.767015,0.10892,0.038191,0.689841,0.732971,0.640481,2,0.870578,0.97
0.979404,0.700943,0.611456,0.689868,0.742254,0.686742,1,0.10756,0.99
0.378332,0.807078,0.533157,0.689891,0.757706,0.692038,0,0,0.99
0.365236,0.459756,0.915862,0.689899,0.73202,0.688043,1,0.0365331,0.98
0.823134,0.484752,0.644411,0.689971,0.740653,0.68564,1,0.147277,0.99
0.0668165,0.847275,0.959735,0.690088,0.73556,0.69119,0,0,0.97
0.465105,0.624345,0.741684,0.69021,0.759759,0.691023,0,0,0.96
0.858257,0.486421,0.680555,0.690227,0.740398,0.690946,0,0,0.97
0.446839,0.85401,0.0642632,0.69032,0.695053,0.661424,6,1.55087,0.97
0.771877,0.598873,0.891185,0.690343,0.781426,0.692223,0,0,0.97
0.420635,0.920019,0.57396,0.69049,0.790279,0.682061,2,0.0766877,0.98
0.0736042,0.949897,0.0528853,0.690689,0.774941,0.684896,2,0.0526666,0.97
0.61905,0.427262,0.0621512,0.690709,0.765647,0.659089,3,0.247278,0.97
0.452212,0.802917,0.314818,0.690711,0.804622,0.676794,3,0.0802972,0.98
0.123597,0.0870108,0.61967,0.690794,0.752408,0.683365,1,0.0700673,0.99
0.148151,0.115113,0.524373,0.691103,0.726096,0.686803,2,0.208139,0.94
0.197869,0.911124,0.593754,0.691205,0.803043,0.692744,0,0,0.97
0.500409,0.997096,0.686035,0.691215,0.727143,0.675407,4,0.187804,0.95
0.347348,0.458062,0.879237,0.691226,0.730694,0.693785,0,0,0.99
0.986107,0.892785,0.00746712,0.691458,0.745176,0.676222,1,0.102199,0.97
0.216847,0.428012,0.278022,0.69151,0.716512,0.682737,1,0.0466341,1
0.544113,0.220429,0.0259975,0.691848,0.730773,0.648298,4,0.438555,0.99
0.401561,0.418737,0.31451,0.691886,0.79225,0.658743,1,0.262197,0.97
0.935808,0.518379,0.346095,0.692149,0.756673,0.683566,3,0.169937,0.97
0.22923,0.0981634,0.32108,0.692399,0.755309,0.672048,3,0.143758,0.99
0.273174,0.588424,0.293901,0.692411,0.773569,0.68519,1,0.0857206,0.98
0.437451,0.784119,0.884406,0.692616,0.71062,0.661298,5,1.2316,0.97
0.580271,0.460511,0.494359,0.692711,0.787083,0.666978,1,0.174804,0.98
0.114964,0.73292,0.699628,0.692804,0.778163,0.688469,1,0.0621521,0.98
0.876797,0.258223,0.840247,0.692836,0.766808,0.677333,7,0.2146,0.98
0.389545,0.561926,0.49139,0.69284,0.759883,0.688423,2,0.0737337,0.97
0.486211,0.493245,0.0215214,0.692956,0.736486,0.674967,2,0.34898,0.96
0.563344,0.0800846,0.110202,0.692986,0.748176,0.639507,5,0.923229,0.99
0.524744,0.385834,0.616522,0.693344,0.799038,0.676199,1,0.100527,0.97
0.414689,0.854213,0.122765,0.693353,0.741571,0.66884,4,0.211596,0.99
0.0285269,0.927298,0.318052,0.693462,0.763996,0.681817,3,0.22681,0.99
0.963449,0.742836,0.00490481,0.693486,0.759107,0.686652,3,0.0390984,0.99
0.644269,0.38756,0.520058,0.693489,0.763175,0.662178,1,0.232833,0.98
0.0745616,0.230684,0.601133,0.693556,0.746899,0.671121,2,0.435871,0.98
0.168744,0.831146,0.0349696,0.693629,0.789204,0.686697,1,0.0792185,1
0.506897,0.919706,0.0430513,0.693653,0.698457,0.646933,7,1.82119,0.98
0.422588,0.773216,0.0485362,0.693783,0.76442,0.673657,5,0.246712,0.98
0.0278244,0.745171,0.521978,0.693797,0.749835,0.696046,0,0,0.98
0.997934,0.942773,0.806222,0.693835,0.745693,0.678029,3,0.372824,0.99
0.753829,0.187462,0.0421119,0.694239,0.769579,0.649403,4,0.572808,0.97
0.727084,0.591681,0.706487,0.694623,0.735467,0.679346,3,0.514502,0.97
0.324251,0.828907,0.437897,0.694907,0.784282,0.6891,1,0.0286317,0.98
0.909585,0.232808,0.564949,0.695041,0.768705,0.671407,2,0.459288,0.98
0.611312,0.489596,0.026172,0.695043,0.763096,0.67159,3,0.148508,0.98
0.899818,0.311265,0.622047,0.695207,0.770205,0.675244,2,0.32531,0.97
0.113056,0.249844,0.177364,0.695207,0.765376,0.691143,2,0.0267192,0.96
0.211285,0.240005,0.524634,0.695268,0.780018,0.685599,2,0.109885,0.93
0.536339,0.21201,0.74037,0.695287,0.755298,0.674448,4,0.161912,0.95
0.771403,0.0922774,0.00474606,0.695357,0.727455,0.639933,3,1.06863,0.98
0.026535,0.604042,0.768517,0.695527,0.773572,0.703901,0,0,0.99
0.485457,0.0779873,0.678836,0.695589,0.75355,0.678298,5,0.308881,0.98
0.191328,0.0333058,0.080132,0.695681,0.761885,0.68001,3,0.164789,0.97
0.138277,0.854485,0.478775,0.695887,0.738305,0.682036,1,0.465404,0.95
0.437019,0.667459,0.854712,0.696075,0.750977,0.679593,3,0.368622,0.97
0.154378,0.376783,0.526132,0.69612,0.738646,0.678034,2,0.265458,0.96
