X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.348639,0.579675,0.451386,0,0,1,0
0.651173,0.0242205,0.00645623,0.361459,0.571802,0.444586,0,0,1,0
0.157383,0.122347,0.870363,0.397903,0.592601,0.481053,0,0,1,0
0.539027,0.0364297,0.87754,0.400498,0.505445,0.431573,0,0,1,0
0.820687,0.875197,0.367458,0.407859,0.597388,0.478116,0,0,1,0
0.703563,0.361467,0.214394,0.409456,0.554327,0.437474,0,0,1,0
0.412447,0.841522,0.854283,0.411059,0.592813,0.47477,0,0,1,0
0.00745795,0.299526,0.517687,0.411105,0.564019,0.482411,0,0,1,0
0.568933,0.995371,0.312242,0.411438,0.532032,0.437268,0,0,1,0
0.148146,0.654277,0.148022,0.413611,0.567752,0.485774,0,0,1,0
0.517129,0.887649,0.999645,0.414137,0.513788,0.442846,0,0,0.98,0
0.434497,0.234344,0.936904,0.416665,0.57063,0.48269,0,0,1,0
0.656684,0.0551614,0.312946,0.425846,0.502468,0.425651,1,0.00379466,0.99,0
0.475196,0.0604497,0.918424,0.425929,0.480014,0.43548,0,0,1,0
0.913803,0.321509,0.222892,0.426028,0.597585,0.48637,0,0,0.99,0
0.565381,0.829051,0.79233,0.427336,0.576535,0.471643,0,0,0.99,0
0.017503,0.863004,0.741951,0.427728,0.48163,0.452995,0,0,1,0
0.121175,0.010545,0.308559,0.428376,0.535428,0.47721,0,0,1,0
0.891111,0.0129927,0.433588,0.429102,0.56937,0.471035,0,0,0.98,0
0.955133,0.192877,0.353345,0.431193,0.552996,0.485116,0,0,1,0
0.0298876,0.564475,0.282787,0.432132,0.594309,0.486627,0,0,0.99,0
0.515289,0.993529,0.507423,0.432753,0.524512,0.475208,0,0,1,0
0.950051,0.256905,0.919858,0.435251,0.542545,0.472439,0,0,1,0
0.788819,0.762391,0.236912,0.436818,0.58331,0.475995,0,0,0.99,0
0.0996677,0.230049,0.335824,0.436946,0.484903,0.456158,0,0,1,0
0.744955,0.662878,0.715616,0.437577,0.566101,0.495994,0,0,0.98,0
0.789392,0.251999,0.898585,0.437634,0.538218,0.473191,0,0,1,0
0.723984,0.331156,0.341339,0.437981,0.507652,0.446081,0,0,1,0
0.480278,0.603053,0.89736,0.43883,0.52137,0.477375,0,0,1,0
0.217537,0.042269,0.737028,0.439247,0.564664,0.467271,0,0,0.99,0
0.9684,0.195655,0.839078,0.439522,0.538273,0.471015,0,0,1,0
0.335652,0.483591,0.0320029,0.439876,0.578922,0.488042,0,0,0.99,0
0.34817,0.752157,0.664833,0.43997,0.545007,0.484557,0,0,1,0
0.428747,0.114727,0.620346,0.441136,0.54391,0.47943,0,0,1,0
0.88185,0.390563,0.858542,0.441209,0.576245,0.491269,0,0,0.99,0
0.0192584,0.988737,0.602632,0.441273,0.512889,0.47377,0,0,1,0
0.144072,0.926215,0.462419,0.441568,0.54301,0.487663,0,0,1,0
