OriginTime,MinWait
6.04118,0.000314973
7.56295,0.00111976
8.35275,0.00174185
8.6846,0.00205349
8.89337,0.00227503
9.05807,0.00247353
9.18781,0.00266592
9.29187,0.00284386
9.38554,0.00301938
9.4722,0.00321769
9.548,0.00343439
9.61432,0.00363171
9.67741,0.0038086
9.73562,0.00396543
9.78791,0.00411961
9.83722,0.00430969
9.8844,0.0045477
9.928,0.00484786
9.97195,0.00524382
10.0153,0.00581792
10.0536,0.0071589
10.0909,0.00813864
10.1292,0.00890392
10.1647,0.0102838
10.1994,0.0111222
10.2326,0.0116751
10.2651,0.0121705
10.2949,0.0126527
10.3241,0.0131282
10.3531,0.0135624
10.3813,0.013971
10.4091,0.0143452
10.4361,0.0147086
10.4619,0.0150754
10.4864,0.0154204
10.5119,0.0158051
10.535,0.0162136
10.5595,0.0165989
10.5818,0.0169865
10.6046,0.01736
10.6272,0.0177437
10.6495,0.0181172
10.671,0.0184985
10.6926,0.018925
10.7129,0.0193772
10.7333,0.0199046
10.7519,0.0204809
10.7712,0.0210886
10.7907,0.021655
10.8101,0.0221871
10.8278,0.0227013
10.8457,0.0232246
10.8632,0.0237492
10.8808,0.0242794
10.8976,0.0248773
10.9141,0.02547
10.9301,0.0260987
10.9464,0.02675
10.9622,0.0273436
10.9778,0.0279505
10.9945,0.0285152
11.0101,0.0290364
11.025,0.0295316
11.0402,0.030041
11.0555,0.0305387
11.0702,0.0310343
11.0849,0.031492
11.1,0.0319752
11.1143,0.0324599
11.1291,0.0329327
11.1419,0.0334172
11.1558,0.03391
11.1698,0.0343735
11.1827,0.0348854
11.1959,0.0354186
11.2094,0.0358877
11.2223,0.0363798
11.2353,0.0368695
11.2475,0.0373786
11.2599,0.0378979
11.272,0.0384045
11.2842,0.0389182
11.2965,0.0394002
11.3082,0.0399134
11.3196,0.0404086
11.3319,0.0408557
11.3436,0.0413445
11.3554,0.0418244
11.3665,0.042303
11.378,0.0427645
11.389,0.0432378
11.4004,0.0436557
11.4117,0.0441123
11.4222,0.0445771
11.4331,0.0450078
11.4434,0.0454423
11.4541,0.0458793
11.4649,0.046325
11.4755,0.0467327
11.4859,0.047153
11.4959,0.0475701
11.5064,0.0479592
11.5167,0.0483518
11.5268,0.0487493
11.5371,0.0491479
11.547,0.0495584
11.5562,0.0499539
11.5657,0.050349
11.5755,0.0507538
11.5844,0.0511473
11.5936,0.0515434
11.6032,0.0519621
11.6129,0.0523767
11.6217,0.0528357
11.6307,0.053266
11.6405,0.053692
11.6496,0.0541269
11.6588,0.0545844
11.6678,0.0550393
11.6766,0.0555023
11.6855,0.0559747
11.6937,0.0564563
11.7022,0.0569162
11.7111,0.057417
11.7192,0.0578639
11.7275,0.0583612
11.7362,0.0588774
11.7445,0.0593626
11.753,0.0598848
11.7611,0.0603754
11.7692,0.0608363
