OriginTime,MinWait,MinSETI
3.3051,0.000275872,0.000275869
4.75889,0.00223857,0.00223842
5.68542,0.0038963,0.00389605
6.12058,0.00810801,0.00810595
6.37531,0.00997843,0.00997589
6.60063,0.0111151,0.0111122
6.77984,0.012794,0.0127906
6.91534,0.0200903,0.0200797
7.03716,0.0246474,0.0246345
7.15635,0.026783,0.0267676
7.26227,0.028539,0.028524
7.35906,0.0303002,0.030282
7.4462,0.0320212,0.031997
7.52378,0.0338745,0.0338497
7.59709,0.0357939,0.0357709
7.66838,0.0378741,0.0378412
7.73883,0.0400561,0.0400225
7.80691,0.0425736,0.0425326
7.86896,0.0449841,0.0449479
7.93542,0.0474086,0.0473598
7.99124,0.049651,0.0495932
8.04986,0.0516939,0.0516327
8.10294,0.053487,0.0534328
8.15293,0.0551898,0.0551202
8.20135,0.0568365,0.0567699
8.24858,0.0584616,0.0583799
8.29615,0.0600346,0.0599592
8.34027,0.0615525,0.0614749
8.38445,0.0630358,0.0629429
8.42906,0.0645827,0.0644815
8.47004,0.0661509,0.0660606
8.51084,0.0677586,0.0676698
8.55305,0.0693694,0.0692551
8.59431,0.0709206,0.0708159
8.63305,0.0723458,0.0722226
8.66961,0.0738154,0.0736882
8.70893,0.0753226,0.0752058
8.74699,0.0768428,0.0767204
8.78484,0.0782968,0.0781695
8.82,0.0796172,0.0794853
8.85357,0.0810432,0.0809019
8.88852,0.0824651,0.0823172
8.92365,0.0839321,0.0837751
8.95808,0.0854131,0.0852562
8.99107,0.0867732,0.0866092
9.02287,0.0881745,0.0880014
9.05513,0.0896093,0.0894412
9.08395,0.0910199,0.0908492
9.11438,0.0924701,0.0922899
9.14345,0.0939401,0.0937559
9.17061,0.0954361,0.0952371
9.20118,0.0969321,0.0967374
9.2297,0.0983933,0.0981777
9.25881,0.0998928,0.0996838
9.28645,0.101501,0.101268
9.31352,0.103067,0.102846
9.341,0.104643,0.104414
9.36853,0.106277,0.106024
9.39539,0.107979,0.107741
9.42106,0.109702,0.109451
9.4466,0.111531,0.11127
9.47425,0.113449,0.113167
9.50017,0.115249,0.114966
9.52663,0.1171,0.116805
9.55111,0.119021,0.118736
9.5747,0.121286,0.120951
9.5996,0.123447,0.123105
9.62424,0.125817,0.125484
9.64871,0.128273,0.127925
9.67312,0.130628,0.130273
9.69795,0.13297,0.132605
9.72164,0.135506,0.135087
9.74568,0.138099,0.137699
9.76891,0.140861,0.140427
9.79179,0.143805,0.143345
9.81479,0.146365,0.145907
9.83593,0.149013,0.148533
9.8579,0.151776,0.151284
9.87988,0.154547,0.154012
9.90247,0.157098,0.156522
9.92442,0.159775,0.159211
9.94712,0.162251,0.161635
9.96847,0.164817,0.164182
9.98958,0.167236,0.166631
10.0096,0.169561,0.168899
10.0305,0.172016,0.171335
10.0522,0.174141,0.173462
10.0734,0.176498,0.17582
10.0922,0.178755,0.178063
10.1119,0.180884,0.180159
10.1307,0.183102,0.182369
10.1501,0.185327,0.184544
10.1688,0.187411,0.186616
10.1887,0.189523,0.188741
10.208,0.19172,0.19091
10.2276,0.193861,0.193017
10.2462,0.195832,0.194965
10.2644,0.197864,0.196984
10.2849,0.199913,0.19903
10.3029,0.201865,0.200983
10.3211,0.203964,0.203033
10.3391,0.206012,0.205064
10.3567,0.208054,0.207088
10.3742,0.210179,0.209192
10.3907,0.212181,0.21119
10.4081,0.21406,0.213035
10.4259,0.21616,0.215114
10.4438,0.218243,0.217177
10.4611,0.220105,0.218992
10.4781,0.222118,0.220996
10.4945,0.224044,0.222931
10.5124,0.225855,0.224718
10.5311,0.227873,0.226675
10.5479,0.229735,0.228577
10.5653,0.231607,0.230358
10.5817,0.233525,0.232301
10.5986,0.235594,0.234337
10.6152,0.237596,0.236374
10.631,0.239612,0.238355
10.6472,0.241692,0.240361
10.6639,0.243669,0.242348
10.6804,0.245624,0.244291
10.6959,0.247625,0.246253
10.7122,0.249634,0.248212
10.7282,0.251457,0.250053
10.7451,0.253484,0.252036
10.7606,0.255391,0.253888
10.777,0.257438,0.255981
10.7934,0.2594,0.257871
10.8087,0.26133,0.259822
10.824,0.263348,0.26181
10.8399,0.265297,0.263726
10.8549,0.267304,0.265685
10.87,0.269321,0.267715
10.8857,0.271411,0.269753
10.9011,0.273244,0.2716
10.9169,0.275343,0.273657
10.9321,0.277462,0.275691
10.947,0.27947,0.277731
10.9613,0.281616,0.279863
10.976,0.283603,0.281846
10.9907,0.285794,0.283942
11.005,0.287893,0.286035
11.0202,0.289983,0.288145
11.0349,0.292154,0.29033
11.0503,0.294325,0.2924
11.0656,0.29635,0.294424
11.0802,0.298458,0.296477
11.095,0.300672,0.29874
11.11,0.302879,0.300778
11.1243,0.304946,0.302879
11.1385,0.307012,0.304929
11.1529,0.309185,0.307108
11.1665,0.311471,0.309315
11.1798,0.313563,0.311399
11.1936,0.315753,0.31356
11.2076,0.317978,0.315718
11.2207,0.320225,0.317941
11.2343,0.322376,0.320103
11.249,0.324927,0.322597
11.2633,0.327305,0.324904
11.2764,0.329502,0.327152
11.2899,0.331873,0.329519
11.3036,0.334342,0.331865
11.3179,0.336714,0.334225
11.3315,0.339167,0.336648
11.3453,0.341622,0.339104
11.358,0.344206,0.341646
11.3722,0.346702,0.344048
11.3852,0.349094,0.346373
11.3984,0.351793,0.349141
11.4116,0.35427,0.351536
11.4245,0.356842,0.353952
11.4376,0.359332,0.356498
11.4504,0.361945,0.359173
11.4635,0.364474,0.361595
11.4761,0.367102,0.364189
11.4897,0.369768,0.366773
11.502,0.372298,0.369341
11.5152,0.375078,0.372011
11.5282,0.377602,0.374466
11.5408,0.380371,0.377111
11.554,0.383158,0.379902
11.5666,0.385775,0.382482
11.5798,0.388571,0.38527
11.5923,0.391314,0.387917
11.6046,0.393893,0.390479
11.6175,0.396754,0.39323
11.6303,0.39939,0.395801
11.6424,0.402107,0.398458
11.6542,0.404671,0.401027
11.6673,0.407509,0.403706
11.6794,0.410061,0.406133
11.6915,0.412513,0.408654
11.7038,0.415047,0.411121
11.7159,0.417518,0.413565
11.7286,0.420013,0.415932
11.7416,0.42241,0.41829
11.7539,0.424871,0.420721
11.7663,0.427316,0.423146
11.7783,0.429983,0.425748
11.79,0.432536,0.428137
11.8022,0.434975,0.43057
11.8144,0.437563,0.433082
11.8261,0.44009,0.435564
11.8377,0.442602,0.43801
11.8506,0.44502,0.440493
11.8627,0.447601,0.442912
11.8756,0.45003,0.445334
11.8877,0.452545,0.447698
11.8991,0.455004,0.450137
11.9115,0.457522,0.452578
11.924,0.459977,0.455118
11.9358,0.462447,0.457487
11.9476,0.46479,0.459799
11.9596,0.467323,0.462135
11.9714,0.469802,0.464624
11.9828,0.472127,0.466964
11.9949,0.474494,0.469269
12.0059,0.476876,0.471563
12.0178,0.479165,0.47379
12.0293,0.481487,0.476054
12.0407,0.483707,0.478295
12.0522,0.486097,0.480574
12.064,0.488482,0.482976
12.0752,0.490989,0.485315
12.0871,0.493271,0.487585
12.0991,0.495617,0.489861
12.1107,0.497873,0.492047
12.1225,0.500114,0.494293
12.1336,0.502504,0.496647
12.1451,0.504918,0.499012
12.1566,0.507328,0.501309
12.1684,0.509703,0.503659
12.1795,0.512073,0.505904
12.1909,0.514346,0.508215
12.2023,0.516826,0.510513
12.214,0.519255,0.513009
12.2258,0.521554,0.515238
12.2367,0.523878,0.517532
12.2476,0.526234,0.519786
12.2589,0.528775,0.522295
12.2705,0.531183,0.524646
12.2814,0.533483,0.526886
12.2929,0.535706,0.529107
12.3044,0.538077,0.531315
12.3158,0.54048,0.533646
12.3271,0.542793,0.535991
12.3383,0.544999,0.538143
12.3493,0.547513,0.540508
12.3604,0.549755,0.542672
12.3718,0.552169,0.545043
12.3833,0.554413,0.547307
12.3941,0.556771,0.549673
12.4044,0.559138,0.55205
12.415,0.561615,0.554304
12.4261,0.563851,0.556542
12.4373,0.56618,0.558839
12.4481,0.568611,0.56121
12.46,0.570982,0.563474
12.4702,0.573411,0.565876
12.481,0.575772,0.568122
12.4926,0.578122,0.570491
12.5041,0.580526,0.572876
12.5155,0.582985,0.575213
12.5262,0.58526,0.577462
12.5372,0.587745,0.579771
12.548,0.590078,0.582107
12.559,0.592622,0.584582
12.5709,0.595165,0.587076
12.5824,0.597622,0.589445
12.5931,0.600084,0.591879
12.6042,0.602445,0.594238
12.6155,0.60486,0.59656
12.6269,0.60743,0.599104
12.6379,0.610086,0.601584
12.6492,0.612624,0.604012
12.6598,0.615017,0.60644
12.6706,0.617476,0.608827
12.6817,0.619764,0.611053
12.6924,0.622218,0.613512
12.7036,0.624897,0.615866
12.7139,0.627288,0.618353
12.7243,0.629818,0.620865
12.7349,0.632272,0.623314
12.7459,0.63462,0.625632
12.7569,0.637104,0.627923
12.7676,0.639602,0.630322
12.7787,0.642141,0.632889
12.7897,0.644734,0.635434
12.8004,0.647375,0.637891
12.811,0.649842,0.640245
12.8224,0.652327,0.642782
12.8328,0.654835,0.64525
12.8437,0.657601,0.64778
12.8546,0.660293,0.650446
12.865,0.662933,0.653007
12.876,0.665495,0.655476
12.888,0.668144,0.658061
12.899,0.670806,0.660707
12.9103,0.673527,0.663328
12.9213,0.676289,0.666003
12.932,0.678973,0.668572
12.9426,0.681576,0.671225
12.9537,0.684243,0.673709
12.9649,0.687268,0.676539
12.9762,0.689982,0.679248
12.9868,0.692796,0.682005
12.998,0.695513,0.684483
13.0088,0.698048,0.687102
13.0191,0.700905,0.689877
13.0306,0.70379,0.692556
13.0416,0.706614,0.695428
13.052,0.709552,0.698227
13.0626,0.712259,0.700991
13.0727,0.715171,0.703715
13.083,0.718023,0.706267
13.0944,0.720866,0.709013
13.1056,0.723628,0.711744
13.1166,0.726428,0.714449
13.1279,0.729259,0.71725
13.139,0.731985,0.719955
13.1491,0.734683,0.722521
13.1595,0.737542,0.72523
13.1702,0.740621,0.728077
13.1814,0.743748,0.730996
13.1927,0.746591,0.733881
13.2041,0.749354,0.736647
13.215,0.752236,0.739372
13.2261,0.755195,0.742145
13.2367,0.758054,0.745026
13.2479,0.761174,0.747832
13.2593,0.764162,0.750889
13.2704,0.767252,0.753893
13.2809,0.770243,0.75689
13.2914,0.773319,0.75963
13.3024,0.776345,0.762689
13.3133,0.779376,0.765524
13.3247,0.782427,0.768364
13.3355,0.785368,0.771215
13.3455,0.788232,0.774056
13.3565,0.791247,0.777002
13.3669,0.7945,0.78015
13.3776,0.797839,0.783248
13.3889,0.801,0.786237
13.3992,0.804143,0.78921
13.4103,0.806986,0.791981
13.421,0.81014,0.795017
13.4318,0.813197,0.798003
13.4429,0.816151,0.800856
13.4529,0.81941,0.804021
13.4642,0.822525,0.807215
13.4746,0.825558,0.810016
13.4851,0.828596,0.812807
13.4959,0.831649,0.815732
13.5063,0.834862,0.818905
13.5171,0.838179,0.822064
13.5276,0.841463,0.825219
13.5386,0.844584,0.828312
13.5493,0.847795,0.831084
13.5602,0.851037,0.834164
13.5709,0.854093,0.837266
13.5816,0.857378,0.840244
13.5924,0.860353,0.843337
13.6043,0.86369,0.846538
13.615,0.866834,0.849453
13.6264,0.869955,0.852664
13.638,0.873156,0.855539
13.6496,0.876191,0.858443
13.66,0.879241,0.861425
13.6712,0.882465,0.864462
13.6819,0.885796,0.867681
13.6939,0.888878,0.870774
13.7048,0.892074,0.873856
13.7154,0.895348,0.877015
13.7263,0.898877,0.880184
13.7371,0.902074,0.88337
13.748,0.905433,0.886539
13.7592,0.908794,0.889824
13.7704,0.912193,0.892957
13.7812,0.915488,0.896297
13.787,0.918669,0.899221
13.7928,0.921893,0.902315
13.8036,0.925257,0.905592
13.8149,0.92867,0.90891
13.8261,0.932071,0.912116
13.8371,0.935565,0.915357
13.848,0.93868,0.91861
13.859,0.941819,0.921691
13.8697,0.945333,0.924951
13.8807,0.948716,0.928035
13.8929,0.951993,0.931129
13.9038,0.95527,0.934289
13.9152,0.958736,0.937566
13.9258,0.962221,0.941079
13.9376,0.965811,0.944438
13.9495,0.968949,0.947713
13.9612,0.972516,0.950904
13.9722,0.97588,0.954028
13.9844,0.979267,0.957432
13.9956,0.982842,0.960816
14.0066,0.986171,0.964006
14.0176,0.989646,0.967109
14.0289,0.99297,0.970375
14.0399,0.99644,0.973671
14.0514,0.999759,0.976932
14.0623,1.00325,0.980206
14.0736,1.00664,0.983447
14.0845,1.01034,0.986771
14.0956,1.01391,0.990239
14.1067,1.01742,0.9936
14.1176,1.02079,0.996915
14.1294,1.02438,1.0003
14.14,1.02792,1.00377
14.1517,1.03144,1.00712
14.163,1.03519,1.01052
14.1743,1.03876,1.01381
14.186,1.04219,1.01732
14.1969,1.04563,1.02084
14.2089,1.04931,1.02434
14.2203,1.05288,1.02787
14.2314,1.0567,1.03135
14.2431,1.06035,1.03481
14.2538,1.06412,1.03828
14.2654,1.06802,1.04194
