OriginTime,MinWait
12.8538,0.169705
12.8587,0.170222
12.8634,0.170736
12.8678,0.17125
12.8723,0.171743
12.8769,0.172239
12.8814,0.172774
12.8864,0.173294
12.8909,0.173816
12.8957,0.174294
12.9003,0.174794
12.9048,0.175263
12.9093,0.175759
12.9138,0.176276
12.9184,0.176791
12.923,0.177242
12.9275,0.177724
12.9319,0.178227
12.9363,0.178695
12.9408,0.179196
12.9452,0.17971
12.9499,0.180185
12.9546,0.180695
12.9591,0.181212
12.9633,0.181715
12.968,0.182226
12.9724,0.182752
12.9768,0.183245
12.9812,0.183768
12.9856,0.184292
12.9899,0.184807
12.9942,0.185344
12.9986,0.18586
13.0031,0.186344
13.0072,0.186888
13.0113,0.1874
13.0156,0.187923
13.0197,0.188442
13.0239,0.188944
13.0285,0.18946
13.0327,0.189998
13.037,0.190516
13.0412,0.191052
13.0453,0.191578
13.0496,0.1921
13.0537,0.192648
13.0582,0.193222
13.0626,0.1938
13.0669,0.194341
13.0709,0.194928
13.0754,0.195505
13.0796,0.196059
13.0839,0.19664
13.0882,0.197218
13.0924,0.197788
13.0966,0.198379
13.1006,0.19897
13.1047,0.199556
13.1087,0.20012
13.113,0.200721
13.1174,0.20132
13.1216,0.201912
13.1255,0.202504
13.1295,0.203117
13.1336,0.203706
13.1375,0.204325
13.1419,0.204946
13.1458,0.205576
13.1498,0.206184
13.1537,0.206839
13.1577,0.207495
13.1618,0.208121
13.1658,0.208769
13.1698,0.209448
13.1737,0.21008
13.1779,0.210772
13.1818,0.21146
13.1859,0.212108
13.1899,0.212812
13.1939,0.213495
13.1978,0.214153
13.2016,0.21487
13.2058,0.215515
13.2098,0.216158
13.214,0.216842
13.218,0.217499
13.222,0.218113
13.2259,0.218772
13.2299,0.219393
13.2337,0.22007
13.2376,0.220691
13.2415,0.221332
13.2454,0.221981
13.2495,0.222593
13.2534,0.22323
13.2571,0.223904
13.2611,0.224531
13.2651,0.225163
13.2689,0.22583
13.2731,0.22644
13.277,0.227049
13.2809,0.227686
13.2848,0.228308
13.2888,0.228934
13.2926,0.229545
13.2964,0.230178
13.3003,0.230825
13.3041,0.231415
13.3082,0.232052
13.3122,0.232662
13.3163,0.23329
13.3201,0.233878
13.3239,0.234495
13.3276,0.235091
13.3314,0.235721
13.3351,0.236345
13.339,0.236973
13.3428,0.237634
13.3467,0.238262
13.3503,0.238936
13.354,0.239576
13.3578,0.240237
13.3617,0.24091
13.3655,0.24157
13.3694,0.242215
13.3729,0.242852
13.3765,0.243531
13.3801,0.244173
13.3838,0.244823
13.3875,0.245478
13.3912,0.246092
13.3949,0.246748
13.3985,0.247375
13.4022,0.24799
13.4059,0.248646
13.4096,0.249344
13.4135,0.249968
13.4172,0.250624
13.421,0.251294
13.4245,0.251967
13.4282,0.252644
13.4318,0.253311
13.4352,0.253957
13.439,0.254618
13.4426,0.25531
13.4463,0.255993
13.4501,0.25664
13.4537,0.257328
13.4574,0.257986
13.4612,0.258618
13.4648,0.259283
13.4686,0.25997
13.4722,0.260643
13.476,0.26132
13.4795,0.261993
13.4831,0.262677
13.4867,0.263346
13.4904,0.263993
13.4939,0.264671
13.4973,0.265335
13.5011,0.265997
13.5046,0.266658
13.5082,0.267369
13.5117,0.268058
13.5156,0.268735
13.5192,0.269437
13.5229,0.270102
13.5267,0.270819
13.5304,0.271521
13.5339,0.272234
13.5376,0.272964
13.541,0.273689
13.5443,0.274415
13.5477,0.275131
13.551,0.275855
13.5544,0.276585
13.5579,0.277357
13.5614,0.278075
13.5651,0.278846
13.5686,0.279602
13.572,0.280313
13.5755,0.281121
13.5791,0.281874
13.5828,0.282567
13.5863,0.283306
13.5897,0.284103
13.5933,0.284849
13.5968,0.285643
13.6002,0.286452
13.6036,0.287205
13.6071,0.287955
13.6106,0.288715
13.6141,0.289494
13.6177,0.290272
13.6212,0.291059
13.6247,0.29183
13.6281,0.292587
13.6316,0.293404
13.6351,0.294232
13.6386,0.295013
13.6421,0.295817
13.6457,0.296592
13.649,0.297389
13.6525,0.298229
13.6558,0.299051
13.6595,0.299826
13.6631,0.300588
13.6664,0.301446
13.6698,0.302225
13.6733,0.303028
13.6765,0.303828
13.6801,0.304651
13.6834,0.305425
13.6868,0.306187
13.6899,0.307019
13.6934,0.307868
13.6968,0.30869
13.7,0.309468
13.7034,0.310311
13.7067,0.311114
13.7102,0.31189
13.7137,0.312701
13.7172,0.313473
13.7206,0.31425
13.724,0.31503
13.7275,0.315783
13.731,0.3166
13.7343,0.317438
13.7378,0.318222
13.7412,0.319017
13.7447,0.319827
13.7481,0.32068
13.7514,0.321445
13.7549,0.322267
13.7584,0.323121
13.7618,0.323877
13.7651,0.324677
13.7686,0.325533
13.7717,0.326379
13.7751,0.327165
13.7786,0.327973
13.7823,0.328765
13.7857,0.329544
13.7892,0.330332
13.7925,0.331178
13.796,0.331985
13.7992,0.332766
13.8,0.333598
13.8024,0.334396
13.8059,0.335181
13.8092,0.336002
13.8124,0.336801
13.8158,0.337609
13.8193,0.338398
13.8227,0.339191
13.8261,0.339994
13.8294,0.340775
13.8327,0.3416
13.836,0.342444
13.8393,0.343273
13.8427,0.344103
13.846,0.344936
13.8494,0.34576
13.8526,0.346596
13.8559,0.347378
13.8593,0.34823
13.8626,0.349013
13.8661,0.349792
13.8694,0.350594
13.8728,0.35142
13.8763,0.352216
13.8794,0.353064
13.8828,0.353893
13.8863,0.354686
13.8898,0.355453
13.893,0.356263
13.8963,0.357026
13.9,0.357813
13.9033,0.358621
13.9065,0.359435
13.9099,0.360204
13.9132,0.360937
13.9165,0.361799
13.9197,0.36269
13.9228,0.363469
13.9261,0.364291
13.9293,0.365082
13.9326,0.365881
13.9359,0.36671
13.9391,0.367561
13.9425,0.368365
13.9459,0.369137
13.9491,0.369987
13.9524,0.370833
13.9556,0.371658
13.9589,0.372477
13.9621,0.373282
13.9654,0.374175
13.9686,0.375019
13.9721,0.375856
13.9752,0.376692
13.9785,0.377508
13.9818,0.378368
13.985,0.379272
13.9882,0.380135
13.9916,0.381011
13.9948,0.38184
13.9979,0.382714
14.0012,0.383545
14.0045,0.38438
14.0076,0.385217
14.0107,0.386076
14.014,0.38687
14.0171,0.387693
14.0204,0.388548
14.0238,0.389359
14.0271,0.390238
14.0304,0.391039
14.0336,0.391885
14.0367,0.392738
14.04,0.393606
14.0435,0.394428
14.0466,0.39526
14.0499,0.396119
14.0532,0.396961
14.0563,0.397812
14.0594,0.398642
14.0625,0.399484
14.0656,0.400256
14.0688,0.401111
14.0721,0.401873
14.0753,0.402755
14.0786,0.403574
14.0822,0.404413
14.0855,0.405294
14.0886,0.406109
14.0918,0.406935
14.0952,0.407747
14.0986,0.408584
14.1018,0.409388
14.105,0.410215
14.1085,0.411003
14.1115,0.411811
14.1148,0.412684
14.1181,0.413533
14.1214,0.414387
14.1246,0.415193
14.1276,0.416017
14.1309,0.416855
14.1341,0.417661
14.1373,0.418506
14.1406,0.419329
14.1439,0.420195
14.1472,0.421048
14.1505,0.421923
14.1538,0.422813
14.157,0.423632
14.1603,0.424491
14.1636,0.425337
14.1668,0.426229
14.17,0.427115
14.1734,0.427952
14.1768,0.428794
14.1798,0.429636
14.183,0.430484
14.1861,0.431317
14.1893,0.432164
14.1926,0.433018
14.1958,0.433858
14.1991,0.434704
14.2024,0.435585
14.2056,0.436419
14.2088,0.437242
14.212,0.438084
14.2152,0.438899
14.2183,0.439767
14.2216,0.440626
14.2249,0.441483
14.2282,0.442298
14.2316,0.443173
14.2345,0.444
14.2376,0.444814
14.2408,0.445619
14.244,0.446499
14.2473,0.447349
14.2506,0.448198
14.2538,0.449062
14.2571,0.449939
14.2602,0.450772
14.2632,0.451614
14.2663,0.452452
14.2694,0.453352
14.2728,0.454161
14.2759,0.455021
14.2793,0.455878
14.2824,0.456714
14.2856,0.457541
14.2887,0.458363
14.2919,0.459218
14.2949,0.460078
14.2981,0.460897
14.3013,0.461742
14.3046,0.462578
14.308,0.463446
14.3114,0.464281
14.3145,0.465112
14.3177,0.465922
14.321,0.466737
14.3243,0.467589
14.3276,0.468458
14.3307,0.46931
14.3341,0.470164
14.3372,0.470979
14.3406,0.471845
14.3439,0.472665
14.3471,0.473562
14.3504,0.474445
14.3537,0.475334
14.3569,0.476182
14.3602,0.477019
14.3637,0.477926
14.3669,0.478775
14.37,0.479625
14.3734,0.480496
14.3766,0.48138
14.3799,0.482294
14.3831,0.48322
14.3864,0.48406
14.3895,0.484957
14.3926,0.485783
14.3959,0.486633
14.3991,0.487505
14.4023,0.488385
14.4055,0.489256
14.4088,0.490191
14.412,0.491089
14.4156,0.491986
14.4188,0.492817
14.4219,0.493724
14.425,0.494625
14.4282,0.49549
14.4313,0.49643
14.4347,0.497296
14.438,0.498224
14.4413,0.49914
14.4446,0.500038
14.4478,0.500948
14.4511,0.501865
14.4545,0.502725
14.4575,0.503659
14.4607,0.504543
14.464,0.505546
14.4671,0.506473
14.4704,0.507384
14.4736,0.508288
14.4767,0.509246
14.4799,0.510179
14.4833,0.511107
14.4866,0.51203
14.4897,0.512928
14.493,0.51396
14.4965,0.514887
14.4998,0.515867
14.5032,0.516792
14.5064,0.517777
14.5096,0.518734
14.5127,0.519646
14.5161,0.520615
14.5193,0.521658
14.5227,0.5226
14.5262,0.523585
14.5293,0.524615
14.5326,0.525587
14.5359,0.526604
14.539,0.527549
14.5424,0.528566
14.5457,0.529544
14.5492,0.530564
14.5525,0.531578
14.5557,0.532566
14.5591,0.533546
14.5624,0.534571
14.5656,0.535571
14.569,0.536593
14.5723,0.53761
14.5754,0.5386
14.5787,0.539611
14.5822,0.540696
14.5854,0.541689
14.5888,0.542653
14.5921,0.543655
14.5953,0.544694
14.5985,0.545737
14.6018,0.546726
14.6051,0.547679
14.6086,0.548764
14.6117,0.549828
14.6151,0.550871
14.6185,0.55186
14.622,0.552899
14.6254,0.553943
14.6286,0.555045
14.6318,0.556061
14.635,0.557119
14.6384,0.55815
14.6418,0.559226
14.6451,0.560251
14.6484,0.561261
14.6518,0.56231
14.655,0.563323
14.6584,0.564357
14.6618,0.565448
14.6651,0.566496
14.6684,0.567555
14.6717,0.568601
14.6751,0.56965
14.6784,0.570695
14.6817,0.571749
14.6849,0.572803
14.6884,0.573805
14.6917,0.574859
14.695,0.575856
14.6983,0.576938
14.7018,0.577954
14.7051,0.579035
14.7084,0.58007
14.712,0.581087
14.7153,0.582146
14.7188,0.58315
14.7222,0.584199
14.7254,0.585299
14.7287,0.586356
14.732,0.587448
14.7352,0.588552
14.7386,0.589609
14.7419,0.590646
14.7453,0.591703
14.7486,0.59273
14.7521,0.593789
14.7554,0.594876
14.7588,0.595909
14.7623,0.597003
14.7657,0.598051
14.7691,0.599119
14.7724,0.600195
14.7759,0.601295
14.7794,0.602307
14.7829,0.603325
14.7865,0.604376
14.79,0.605438
14.7935,0.606535
14.7968,0.607541
14.8001,0.608581
14.8035,0.609605
14.8067,0.610657
14.81,0.611743
14.8136,0.612757
14.8171,0.613814
14.8205,0.614813
14.824,0.615886
14.8273,0.61693
14.8308,0.617988
14.8344,0.619019
14.838,0.620103
14.8414,0.621166
14.8451,0.622213
14.8485,0.623256
14.8519,0.624258
14.8552,0.625295
14.8588,0.626266
14.8622,0.627363
14.8656,0.628419
14.8691,0.62948
14.8726,0.630519
14.876,0.631551
14.8796,0.63259
14.883,0.633632
14.8865,0.634736
14.89,0.635741
14.8935,0.636801
14.8971,0.637843
14.9006,0.638928
14.9039,0.639943
14.9073,0.640994
14.9109,0.64205
14.9143,0.643112
14.9178,0.644127
14.9212,0.645221
14.9247,0.64629
14.9282,0.647387
14.9318,0.648408
14.9353,0.649427
14.9387,0.650521
14.9423,0.651583
14.9457,0.652685
14.9494,0.653717
14.953,0.654795
14.9565,0.655836
14.9601,0.656836
14.9639,0.657919
14.9674,0.659033
14.9708,0.66009
14.9743,0.661178
14.9779,0.662219
14.9816,0.663225
14.9852,0.664272
14.9887,0.665391
14.9924,0.666499
14.9959,0.667633
14.9995,0.668665
15.0031,0.669758
15.0069,0.670844
15.0105,0.671887
15.014,0.673004
15.0175,0.674054
15.0211,0.675136
15.0248,0.676185
15.0285,0.677312
15.032,0.678401
15.0359,0.679498
15.0397,0.680657
15.0433,0.681764
15.047,0.68289
15.0505,0.683923
15.0541,0.685
15.0578,0.686094
15.0612,0.687165
15.0649,0.688323
15.0685,0.689509
15.072,0.690635
15.0756,0.691795
15.0795,0.692943
15.083,0.694056
15.0864,0.695171
15.0901,0.696214
15.0939,0.697334
15.0975,0.698478
15.1012,0.699605
15.105,0.700777
15.1088,0.701904
15.1127,0.703052
15.1164,0.704154
15.1202,0.705252
15.1241,0.706323
15.1279,0.707451
15.1316,0.708575
15.135,0.709688
15.1387,0.710727
15.1425,0.711806
15.1461,0.71298
15.1501,0.71407
15.1538,0.715239
15.1577,0.716325
15.1615,0.717423
15.1653,0.718444
15.1693,0.719534
15.1731,0.720679
15.1767,0.721776
15.1808,0.722876
15.1846,0.724011
15.1884,0.725096
15.192,0.726278
15.1958,0.727396
15.1995,0.728519
15.2035,0.729602
15.207,0.73068
15.2108,0.731812
15.2147,0.732971
15.2185,0.734111
15.2222,0.735198
15.2262,0.736296
15.2301,0.737425
15.2341,0.738559
15.238,0.739713
15.242,0.740891
15.246,0.74199
15.2497,0.743061
15.2537,0.744165
15.2575,0.7452
15.2614,0.74634
15.2653,0.747539
15.269,0.748623
15.2729,0.749761
15.2768,0.750858
15.2807,0.75198
15.2847,0.753066
15.2888,0.754158
15.2928,0.755263
15.2966,0.756382
15.3006,0.757521
15.3045,0.758685
15.3084,0.759782
15.3123,0.760866
15.3166,0.761926
15.3207,0.76302
15.3247,0.764179
15.3288,0.765308
15.3328,0.766408
15.3368,0.767522
15.3407,0.768678
15.3446,0.769768
15.3488,0.770884
15.3527,0.772012
15.3563,0.773134
15.3603,0.774298
15.3646,0.775423
15.3687,0.776551
15.3727,0.777715
15.3768,0.778885
15.3809,0.779997
15.3848,0.781196
15.3889,0.782281
15.3928,0.783489
15.3971,0.784671
15.4012,0.785819
15.4055,0.787011
15.4097,0.788205
15.4139,0.789423
15.418,0.790628
15.4223,0.791764
15.4263,0.792991
