X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.348639,0.579675,0.458684,0,0,1,0
0.651173,0.0242205,0.00645623,0.361459,0.571802,0.457183,0,0,1,0
0.157383,0.122347,0.870363,0.397903,0.592601,0.492997,0,0,1,0
0.539027,0.0364297,0.87754,0.400498,0.505445,0.449108,0,0,1,0
0.820687,0.875197,0.367458,0.407859,0.597388,0.49212,0,0,1,0
0.703563,0.361467,0.214394,0.409456,0.554327,0.462856,0,0,1,0
0.412447,0.841522,0.854283,0.411059,0.592813,0.491279,0,0,1,0
0.00745795,0.299526,0.517687,0.411105,0.564019,0.486139,0,0,1,0
0.568933,0.995371,0.312242,0.411438,0.532032,0.462591,0,0,1,0
0.148146,0.654277,0.148022,0.413611,0.567752,0.488578,0,0,1,0
0.517129,0.887649,0.999645,0.414137,0.513788,0.460845,0,0,0.98,0
0.434497,0.234344,0.936904,0.416665,0.57063,0.492813,0,0,1,0
0.656684,0.0551614,0.312946,0.425846,0.502468,0.447654,0,0,0.99,0
0.475196,0.0604497,0.918424,0.425929,0.480014,0.445475,0,0,1,0
0.913803,0.321509,0.222892,0.426028,0.597585,0.502763,0,0,0.99,0
0.565381,0.829051,0.79233,0.427336,0.576535,0.488953,0,0,0.99,0
0.017503,0.863004,0.741951,0.427728,0.48163,0.453957,0,0,1,0
0.121175,0.010545,0.308559,0.428376,0.535428,0.479891,0,0,1,0
0.891111,0.0129927,0.433588,0.429102,0.56937,0.489086,0,0,0.98,0
0.955133,0.192877,0.353345,0.431193,0.552996,0.491065,0,0,1,0
0.0298876,0.564475,0.282787,0.432132,0.594309,0.507488,0,0,0.99,0
0.515289,0.993529,0.507423,0.432753,0.524512,0.477165,0,0,1,0
0.950051,0.256905,0.919858,0.435251,0.542545,0.481844,0,0,1,0
0.788819,0.762391,0.236912,0.436818,0.58331,0.495463,0,0,0.99,0
0.0996677,0.230049,0.335824,0.436946,0.484903,0.458882,0,0,1,0
0.744955,0.662878,0.715616,0.437577,0.566101,0.501653,0,0,0.98,0
0.789392,0.251999,0.898585,0.437634,0.538218,0.481611,0,0,1,0
0.723984,0.331156,0.341339,0.437981,0.507652,0.46971,0,0,1,0
0.480278,0.603053,0.89736,0.43883,0.52137,0.478932,0,0,1,0
0.217537,0.042269,0.737028,0.439247,0.564664,0.487091,0,0,0.99,0
0.9684,0.195655,0.839078,0.439522,0.538273,0.481234,0,0,1,0
0.335652,0.483591,0.0320029,0.439876,0.578922,0.500246,0,0,0.99,0
0.34817,0.752157,0.664833,0.43997,0.545007,0.492383,0,0,1,0
0.428747,0.114727,0.620346,0.441136,0.54391,0.486912,0,0,1,0
0.88185,0.390563,0.858542,0.441209,0.576245,0.502551,0,0,0.99,0
0.0192584,0.988737,0.602632,0.441273,0.512889,0.475662,0,0,1,0
0.144072,0.926215,0.462419,0.441568,0.54301,0.490306,0,0,1,0
0.47043,0.860422,0.0466718,0.442139,0.485787,0.456845,0,0,0.99,0
0.0334049,0.873965,0.658949,0.443046,0.512947,0.470815,0,0,1,0
0.00447891,0.473286,0.497228,0.443276,0.495304,0.46701,0,0,0.99,0
0.852072,0.182038,0.908901,0.443721,0.532131,0.480741,0,0,1,0
0.702414,0.234659,0.751036,0.44373,0.58911,0.51212,0,0,0.96,0
0.864846,0.0598318,0.761121,0.444028,0.60217,0.519664,0,0,1,0
0.0179,0.114586,0.0867562,0.44449,0.539662,0.486244,0,0,1,0
0.453584,0.538532,0.0623556,0.445326,0.549542,0.496543,0,0,1,0
0.562792,0.904818,0.382231,0.446395,0.526051,0.475539,0,0,1,0
0.157034,0.432952,0.864387,0.446542,0.547864,0.493298,0,0,1,0
0.0772791,0.244599,0.363253,0.446624,0.475225,0.457499,0,0,1,0
0.378272,0.320621,0.404419,0.447668,0.524405,0.481539,0,0,1,0
0.91055,0.447018,0.303278,0.448504,0.564368,0.499552,0,0,0.99,0
0.765853,0.524945,0.657413,0.449622,0.532053,0.485573,0,0,1,0
0.0476086,0.852549,0.744884,0.449626,0.459732,0.450829,0,0,0.99,0
0.150738,0.133554,0.271841,0.449962,0.554902,0.494084,0,0,1,0
0.311313,0.610862,0.487181,0.450206,0.531684,0.487675,0,0,1,0
0.63446,0.153525,0.620072,0.451043,0.567757,0.505941,0,0,0.98,0
0.771109,0.315389,0.368389,0.451074,0.494559,0.46784,0,0,1,0
0.975051,0.187253,0.0602901,0.451249,0.532904,0.485278,0,0,0.98,0
